subject,session_stamp,modalities_with_time,overlap_start_raw,overlap_end_raw,overlap_duration_raw,union_duration_raw,overlap_ratio_raw,status
jy,2025_09_26_18_01_40,"vehicle,physio,eeg",1758909700.795,1758910223.472,522.6769998073578,522.6930000782013,0.9999693887791856,overlap_ok
lx,2025_09_26_08_58_43,"vehicle,physio,eeg",1758877123.8179998,1758877396.85,273.03200006484985,273.0480000972748,0.9999414021255632,overlap_ok
lx,2025_09_26_09_06_38,"vehicle,physio,eeg",1758877598.627,1758877981.663,383.03600001335144,383.0550000667572,0.999950398628389,overlap_ok
lx,2025_09_26_09_17_22,"vehicle,physio,eeg",1758878242.524,1758878861.999,619.4750001430511,619.4950001239777,0.9999677156701466,overlap_ok
lxy,2025_09_28_17_55_52,"vehicle,physio,eeg",1759082153.187,1759082746.368,593.180999994278,593.2170000076294,0.9999393139216324,overlap_ok
lxy,2025_09_28_18_06_16,"vehicle,physio,eeg",1759082777.063,1759083356.753,579.6900000572205,579.7309999465942,0.9999292777350572,overlap_ok
lxy,2025_09_28_18_16_26,"vehicle,physio,eeg",1759083386.3009999,1759083400.437,14.136000156402588,14.151000022888184,0.9989400136766776,overlap_ok
lxy,2025_09_28_18_19_35,"vehicle,physio,eeg",1759083576.093,1759084120.105,544.0120000839233,544.0369999408722,0.9999540475060491,overlap_ok
rjy,2025_09_28_19_33_26,"vehicle,eeg",1759088006.867,1759088653.747,646.8799998760223,646.9039998054504,0.9999629003230227,overlap_ok
rjy,2025_09_28_19_44_42,"vehicle,eeg",1759088682.457,1759088830.023,147.5659999847412,147.5920000076294,0.9998238385353756,overlap_ok
rjy,2025_09_28_19_49_06,"vehicle,eeg",1759088946.837,1759089007.5340002,60.69700026512146,60.72000002861023,0.9996212160165031,overlap_ok
rjy,2025_09_28_19_51_44,"vehicle,physio",1759089104.7089999,1759089688.514,583.8050000667572,583.8149998188019,0.999982871710991,overlap_ok
rjy,2025_09_28_20_02_20,"vehicle,physio",1759089740.551,1759090468.4259999,727.8749997615814,727.8880000114441,0.9999821397661969,overlap_ok
rjy,2025_09_28_20_15_42,"vehicle,physio",1759090542.6729999,1759091141.609,598.9360001087189,598.9399998188019,0.9999933220187595,overlap_ok
txj,2025_09_27_08_39_31,"vehicle,physio,eeg",1758962371.598,1758962378.071,6.4730000495910645,6.482999801635742,0.9984575424416711,overlap_ok
txj,2025_09_27_08_40_46,"vehicle,physio,eeg",1758962447.013,1758963183.722,736.7089998722076,736.7329998016357,0.9999674238435979,overlap_ok
txj,2025_09_27_08_53_44,"vehicle,physio,eeg",1758963224.535,1758963902.5609999,678.0259997844696,678.0509996414185,0.9999631298280482,overlap_ok
txj,2025_09_27_09_06_19,"vehicle,physio,eeg",1758963979.289,1758964609.1420002,629.853000164032,629.8690001964569,0.9999745978411068,overlap_ok
txj,2025_09_27_09_17_11,"vehicle,physio,eeg",1758964631.4,1758965249.6590002,618.2590000629425,618.2769999504089,0.9999708870175215,overlap_ok
tyy,2025_09_28_14_23_43,"vehicle,physio,eeg",1759069423.739,1759070327.19,903.4509999752045,903.4889998435974,0.9999579409728292,overlap_ok
tyy,2025_09_28_14_40_01,"vehicle,physio,eeg",1759070402.1529999,1759070587.704,185.55100011825562,185.58899998664856,0.9997952471946308,overlap_ok
tyy,2025_09_28_14_44_09,"vehicle,physio,eeg",1759070649.425,1759071224.044,574.6189999580383,574.6449999809265,0.9999547546347936,overlap_ok
tyy,2025_09_28_14_57_17,"vehicle,physio,eeg",1759071437.5310001,1759071884.175,446.6439998149872,446.66699981689453,0.9999485074968225,overlap_ok
xst,2025_09_26_11_34_18,"vehicle,physio,eeg",1758886458.8990002,1758887201.761,742.8619997501373,742.8829998970032,0.9999717315554821,overlap_ok
yyl,2025_09_28_09_14_23,"vehicle,physio,eeg",1759050864.4190001,1759051643.304,778.8849997520447,778.9949996471405,0.9998587925530387,overlap_ok
yyl,2025_09_28_09_29_01,"vehicle,physio,eeg",1759051741.6179998,1759052313.364,571.746000289917,571.816999912262,0.9998758350619938,overlap_ok
yyl,2025_09_28_09_39_01,"vehicle,physio,eeg",1759052342.0019999,1759052913.487,571.4850001335144,571.5699996948242,0.9998512875739538,overlap_ok
yyl,2025_09_28_09_49_11,"vehicle,physio,eeg",1759052951.4499998,1759053494.2510002,542.8010003566742,542.8450000286102,0.9999189461597072,overlap_ok
yzy,2025_09_27_14_13_03,"vehicle,physio,eeg",1758982383.241,1758983078.211,694.9700000286102,694.9909999370575,0.9999697839131022,overlap_ok
yzy,2025_09_27_14_26_04,"vehicle,physio,eeg",1758983165.205,1758983780.4620001,615.257000207901,615.2869999408722,0.9999512426997904,overlap_ok
yzy,2025_09_27_14_37_08,"vehicle,physio,eeg",1758983828.664,1758984423.573,594.9089999198914,594.9359998703003,0.9999546170505486,overlap_ok
yzy,2025_09_27_15_04_26,"vehicle,physio,eeg",1758985467.1260002,1758985580.6019998,113.47599959373474,113.4850001335144,0.9999206896085908,overlap_ok
yzy,2025_09_27_15_07_57,"vehicle,physio,eeg",1758985677.666,1758986263.206,585.5400002002716,585.5469999313354,0.9999880458254168,overlap_ok
zdq,2025_09_26_15_14_51,"vehicle,physio",1758899691.754,1758900047.2140002,355.46000027656555,355.47000002861023,0.9999718689283374,overlap_ok
zdq,2025_09_26_15_21_51,"vehicle,physio",1758900111.12,1758900372.976,261.8560001850128,261.8589999675751,0.9999885442831347,overlap_ok
zdq,2025_09_26_15_27_09,"vehicle,physio",1758900429.381,1758900970.741,541.3599998950958,541.3670001029968,0.9999870693856484,overlap_ok
zdq,2025_09_26_15_37_30,"vehicle,physio,eeg",1758901050.941,1758901574.6009998,523.6599998474121,523.6890003681183,0.99994462262777,overlap_ok
