subject,session_stamp,vehicle_file_count,physio_file_count,eeg_file_count,vehicle_paths,physio_paths,eeg_paths,vehicle_time_min,vehicle_time_max,physio_time_min,physio_time_max,eeg_time_min,eeg_time_max,vehicle_available,physio_available,eeg_available,all_three_modalities_available
lxy,2025_09_28_18_06_16,1,1,1,原始车辆数据/lxy/Entity_Recording_2025_09_28_18_06_16_vehicle.csv,原始生理数据/lxy/Entity_Recording_2025_09_28_18_06_16_physio.csv,原始脑电数据/lxy/Entity_Recording_2025_09_28_18_06_16_eeg.csv,1759082777.039,1759083356.754,1759082777.023,1759083356.754,1759082777.063,1759083356.753,True,True,True,True
lxy,2025_09_28_18_16_26,1,1,1,原始车辆数据/lxy/Entity_Recording_2025_09_28_18_16_26_vehicle.csv,原始生理数据/lxy/Entity_Recording_2025_09_28_18_16_26_physio.csv,原始脑电数据/lxy/Entity_Recording_2025_09_28_18_16_26_eeg.csv,1759083386.2870002,1759083400.437,1759083386.3009999,1759083400.4380002,1759083386.3009999,1759083400.4380002,True,True,True,True
lxy,2025_09_28_18_19_35,1,1,1,原始车辆数据/lxy/Entity_Recording_2025_09_28_18_19_35_vehicle.csv,原始生理数据/lxy/Entity_Recording_2025_09_28_18_19_35_physio.csv,原始脑电数据/lxy/Entity_Recording_2025_09_28_18_19_35_eeg.csv,1759083576.076,1759084120.107,1759083576.0700002,1759084120.107,1759083576.093,1759084120.105,True,True,True,True
rjy,2025_09_28_19_33_26,1,0,1,原始车辆数据/rjy/Entity_Recording_2025_09_28_19_33_26_vehicle.csv,,原始脑电数据/rjy/Entity_Recording_2025_09_28_19_33_26_eeg.csv,1759088006.845,1759088653.747,,,1759088006.867,1759088653.7489998,True,False,True,False
rjy,2025_09_28_19_44_42,1,0,1,原始车辆数据/rjy/Entity_Recording_2025_09_28_19_44_42_vehicle.csv,,原始脑电数据/rjy/Entity_Recording_2025_09_28_19_44_42_eeg.csv,1759088682.4329998,1759088830.023,,,1759088682.457,1759088830.0249999,True,False,True,False
rjy,2025_09_28_19_49_06,1,0,1,原始车辆数据/rjy/Entity_Recording_2025_09_28_19_49_06_vehicle.csv,,原始脑电数据/rjy/Entity_Recording_2025_09_28_19_49_06_eeg.csv,1759088946.8140001,1759089007.5340002,,,1759088946.837,1759089007.5340002,True,False,True,False
rjy,2025_09_28_19_51_44,1,1,0,原始车辆数据/rjy/Entity_Recording_2025_09_28_19_51_44_vehicle.csv,原始生理数据/rjy/Entity_Recording_2025_09_28_19_51_44_physio.csv,,1759089104.7089999,1759089688.514,1759089104.6990001,1759089688.514,,,True,True,False,False
rjy,2025_09_28_20_02_20,1,1,0,原始车辆数据/rjy/Entity_Recording_2025_09_28_20_02_20_vehicle.csv,原始生理数据/rjy/Entity_Recording_2025_09_28_20_02_20_physio.csv,,1759089740.551,1759090468.4259999,1759089740.539,1759090468.427,,,True,True,False,False
rjy,2025_09_28_20_15_42,1,1,0,原始车辆数据/rjy/Entity_Recording_2025_09_28_20_15_42_vehicle.csv,原始生理数据/rjy/Entity_Recording_2025_09_28_20_15_42_physio.csv,,1759090542.6729999,1759091141.609,1759090542.67,1759091141.61,,,True,True,False,False
txj,2025_09_27_08_39_31,1,1,1,原始车辆数据/txj/Entity_Recording_2025_09_27_08_39_31_vehicle.csv,原始生理数据/txj/Entity_Recording_2025_09_27_08_39_31_physio.csv,原始脑电数据/txj/Entity_Recording_2025_09_27_08_39_31_eeg.csv,1758962371.591,1758962378.071,1758962371.596,1758962378.074,1758962371.598,1758962378.074,True,True,True,True
