sample_id,event_uid,subject,session_stamp,split,gt_peak_abs,is_large_response,is_difficult_peak_top20,rmse_delta_keypoint_minus_rbf,keypoint_better_rmse,selector_prob_keypoint,selector_threshold,selected_model
vehicle_instability_allraw__lxy__2025_09_28_18_19_35__000481970__pre3_label3_response_coverage,vehicle_instability_allraw__lxy__2025_09_28_18_19_35__000481970,lxy,2025_09_28_18_19_35,train,0.0993099212646484,0,0,0.28700918890535826,0,0.04634652988018693,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__rjy__2025_09_28_19_33_26__000137120__pre3_label3_response_coverage,vehicle_instability_allraw__rjy__2025_09_28_19_33_26__000137120,rjy,2025_09_28_19_33_26,train,0.9438740015029908,0,0,0.10821674764156342,0,0.6585704823470869,0.55,keypoint_residual_vehicle_transformer_no_subject
vehicle_instability_allraw__rjy__2025_09_28_19_33_26__000439360__pre3_label3_response_coverage,vehicle_instability_allraw__rjy__2025_09_28_19_33_26__000439360,rjy,2025_09_28_19_33_26,train,1.7284029722213743,1,0,0.18161892890930176,0,0.6133049578659582,0.55,keypoint_residual_vehicle_transformer_no_subject
vehicle_instability_allraw__rjy__2025_09_28_19_33_26__000515545__pre3_label3_response_coverage,vehicle_instability_allraw__rjy__2025_09_28_19_33_26__000515545,rjy,2025_09_28_19_33_26,train,0.449945867061615,0,0,0.28346899151802074,0,0.6424669264642109,0.55,keypoint_residual_vehicle_transformer_no_subject
vehicle_instability_allraw__rjy__2025_09_28_19_33_26__000598710__pre3_label3_response_coverage,vehicle_instability_allraw__rjy__2025_09_28_19_33_26__000598710,rjy,2025_09_28_19_33_26,train,0.8325219750404358,0,0,-0.005134493112564087,1,0.6117357065879926,0.55,keypoint_residual_vehicle_transformer_no_subject
vehicle_instability_allraw__rjy__2025_09_28_19_51_44__000180850__pre3_label3_response_coverage,vehicle_instability_allraw__rjy__2025_09_28_19_51_44__000180850,rjy,2025_09_28_19_51_44,train,1.846207618713379,1,1,0.4607979655265808,0,0.3589549491752898,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__rjy__2025_09_28_19_51_44__000209520__pre3_label3_response_coverage,vehicle_instability_allraw__rjy__2025_09_28_19_51_44__000209520,rjy,2025_09_28_19_51_44,train,0.7143637537956238,0,0,0.18864859640598303,0,0.27309025240483575,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__rjy__2025_09_28_19_51_44__000340405__pre3_label3_response_coverage,vehicle_instability_allraw__rjy__2025_09_28_19_51_44__000340405,rjy,2025_09_28_19_51_44,train,1.2901480197906494,0,0,0.0007028877735137939,0,0.28774200909849124,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__rjy__2025_09_28_19_51_44__000384965__pre3_label3_response_coverage,vehicle_instability_allraw__rjy__2025_09_28_19_51_44__000384965,rjy,2025_09_28_19_51_44,train,2.1245858669281006,1,1,0.40771573781967163,0,0.26146665720162476,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__rjy__2025_09_28_19_51_44__000463330__pre3_label3_response_coverage,vehicle_instability_allraw__rjy__2025_09_28_19_51_44__000463330,rjy,2025_09_28_19_51_44,train,1.010895013809204,0,0,0.0316778719425202,0,0.28953630816552517,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__rjy__2025_09_28_20_02_20__000137410__pre3_label3_response_coverage,vehicle_instability_allraw__rjy__2025_09_28_20_02_20__000137410,rjy,2025_09_28_20_02_20,train,1.46502947807312,0,0,0.25736632943153387,0,0.005398914572678258,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__rjy__2025_09_28_20_02_20__000500840__pre3_label3_response_coverage,vehicle_instability_allraw__rjy__2025_09_28_20_02_20__000500840,rjy,2025_09_28_20_02_20,train,0.1080358996987342,0,0,0.18000378459692,0,0.13556431160454727,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__rjy__2025_09_28_20_02_20__000703720__pre3_label3_response_coverage,vehicle_instability_allraw__rjy__2025_09_28_20_02_20__000703720,rjy,2025_09_28_20_02_20,train,1.2260918617248535,0,0,0.022696793079376276,0,0.7727185974832772,0.55,keypoint_residual_vehicle_transformer_no_subject
vehicle_instability_allraw__txj__2025_09_27_09_06_19__000084165__pre3_label3_response_coverage,vehicle_instability_allraw__txj__2025_09_27_09_06_19__000084165,txj,2025_09_27_09_06_19,train,0.191287875175476,0,0,0.22558456659317022,0,0.4158013566294603,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__txj__2025_09_27_09_06_19__000242365__pre3_label3_response_coverage,vehicle_instability_allraw__txj__2025_09_27_09_06_19__000242365,txj,2025_09_27_09_06_19,train,0.6354739665985107,0,0,0.06157627701759333,0,0.7125443284319336,0.55,keypoint_residual_vehicle_transformer_no_subject
vehicle_instability_allraw__txj__2025_09_27_09_06_19__000575870__pre3_label3_response_coverage,vehicle_instability_allraw__txj__2025_09_27_09_06_19__000575870,txj,2025_09_27_09_06_19,train,0.6218609809875488,0,0,0.3405815958976745,0,0.5003603951040468,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__txj__2025_09_27_09_06_19__000604150__pre3_label3_response_coverage,vehicle_instability_allraw__txj__2025_09_27_09_06_19__000604150,txj,2025_09_27_09_06_19,train,0.3764675855636596,0,0,-0.01617859303951258,1,0.7903537786645282,0.55,keypoint_residual_vehicle_transformer_no_subject
vehicle_instability_allraw__txj__2025_09_27_09_17_11__000060790__pre3_label3_response_coverage,vehicle_instability_allraw__txj__2025_09_27_09_17_11__000060790,txj,2025_09_27_09_17_11,train,0.930783987045288,0,0,-0.07516688108444222,1,0.5126468545671667,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__txj__2025_09_27_09_17_11__000243345__pre3_label3_response_coverage,vehicle_instability_allraw__txj__2025_09_27_09_17_11__000243345,txj,2025_09_27_09_17_11,train,2.008004903793335,1,1,0.22734516859054565,0,0.7222156788968161,0.55,keypoint_residual_vehicle_transformer_no_subject
vehicle_instability_allraw__txj__2025_09_27_09_17_11__000498455__pre3_label3_response_coverage,vehicle_instability_allraw__txj__2025_09_27_09_17_11__000498455,txj,2025_09_27_09_17_11,train,0.4792675077915191,0,0,0.4321141242980957,0,0.4038188164641829,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__tyy__2025_09_28_14_23_43__000177395__pre3_label3_response_coverage,vehicle_instability_allraw__tyy__2025_09_28_14_23_43__000177395,tyy,2025_09_28_14_23_43,train,1.631882905960083,0,0,0.6299896836280825,0,0.02365857409237717,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__tyy__2025_09_28_14_23_43__000286995__pre3_label3_response_coverage,vehicle_instability_allraw__tyy__2025_09_28_14_23_43__000286995,tyy,2025_09_28_14_23_43,train,1.833645939826965,1,1,0.13525938987731934,0,0.5641717793107888,0.55,keypoint_residual_vehicle_transformer_no_subject
vehicle_instability_allraw__tyy__2025_09_28_14_23_43__000302720__pre3_label3_response_coverage,vehicle_instability_allraw__tyy__2025_09_28_14_23_43__000302720,tyy,2025_09_28_14_23_43,train,1.2192866802215576,0,0,0.2847365438938141,0,0.6401920849682741,0.55,keypoint_residual_vehicle_transformer_no_subject
vehicle_instability_allraw__tyy__2025_09_28_14_23_43__000500235__pre3_label3_response_coverage,vehicle_instability_allraw__tyy__2025_09_28_14_23_43__000500235,tyy,2025_09_28_14_23_43,train,2.286210060119629,1,1,0.4084524810314179,0,0.11533567176830499,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__tyy__2025_09_28_14_23_43__000628070__pre3_label3_response_coverage,vehicle_instability_allraw__tyy__2025_09_28_14_23_43__000628070,tyy,2025_09_28_14_23_43,train,0.3419100046157837,0,0,0.1162412650883198,0,0.08678048840358342,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__tyy__2025_09_28_14_23_43__000665155__pre3_label3_response_coverage,vehicle_instability_allraw__tyy__2025_09_28_14_23_43__000665155,tyy,2025_09_28_14_23_43,train,1.0355039834976196,0,0,-0.09724393486976629,1,0.6404842734076294,0.55,keypoint_residual_vehicle_transformer_no_subject
vehicle_instability_allraw__tyy__2025_09_28_14_23_43__000685655__pre3_label3_response_coverage,vehicle_instability_allraw__tyy__2025_09_28_14_23_43__000685655,tyy,2025_09_28_14_23_43,train,1.7901862859725952,1,1,0.1264601051807404,0,0.2196646117484316,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__tyy__2025_09_28_14_23_43__000762635__pre3_label3_response_coverage,vehicle_instability_allraw__tyy__2025_09_28_14_23_43__000762635,tyy,2025_09_28_14_23_43,train,2.1591429710388184,1,1,0.6034128069877625,0,0.3517963636055054,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__tyy__2025_09_28_14_57_17__000269590__pre3_label3_response_coverage,vehicle_instability_allraw__tyy__2025_09_28_14_57_17__000269590,tyy,2025_09_28_14_57_17,train,1.8472609519958496,1,1,0.0017931163311004084,0,0.3284800788078931,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__tyy__2025_09_28_14_57_17__000427465__pre3_label3_response_coverage,vehicle_instability_allraw__tyy__2025_09_28_14_57_17__000427465,tyy,2025_09_28_14_57_17,train,0.031059980392456,0,0,0.0716262608766556,0,0.07916552062114306,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__xst__2025_09_26_11_34_18__000146145__pre3_label3_response_coverage,vehicle_instability_allraw__xst__2025_09_26_11_34_18__000146145,xst,2025_09_26_11_34_18,train,1.3625750541687012,0,0,0.5275892615318298,0,0.006053542705551391,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__yyl__2025_09_28_09_14_23__000110400__pre3_label3_response_coverage,vehicle_instability_allraw__yyl__2025_09_28_09_14_23__000110400,yyl,2025_09_28_09_14_23,train,2.523574113845825,1,1,0.1837451457977295,0,0.08641442422170852,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__yyl__2025_09_28_09_14_23__000431885__pre3_label3_response_coverage,vehicle_instability_allraw__yyl__2025_09_28_09_14_23__000431885,yyl,2025_09_28_09_14_23,train,1.0599390268325806,0,0,0.17145028710365298,0,0.7274618391558373,0.55,keypoint_residual_vehicle_transformer_no_subject
vehicle_instability_allraw__yyl__2025_09_28_09_14_23__000568235__pre3_label3_response_coverage,vehicle_instability_allraw__yyl__2025_09_28_09_14_23__000568235,yyl,2025_09_28_09_14_23,train,1.8633136749267576,1,1,0.2619513273239136,0,0.30575238407098826,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__yyl__2025_09_28_09_29_01__000104675__pre3_label3_response_coverage,vehicle_instability_allraw__yyl__2025_09_28_09_29_01__000104675,yyl,2025_09_28_09_29_01,train,1.4142409563064575,0,0,0.08538097143173223,0,0.08324899860265472,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__yyl__2025_09_28_09_29_01__000235890__pre3_label3_response_coverage,vehicle_instability_allraw__yyl__2025_09_28_09_29_01__000235890,yyl,2025_09_28_09_29_01,train,1.2801971435546875,0,0,0.173768699169159,0,0.5736002060319597,0.55,keypoint_residual_vehicle_transformer_no_subject
vehicle_instability_allraw__yyl__2025_09_28_09_29_01__000357555__pre3_label3_response_coverage,vehicle_instability_allraw__yyl__2025_09_28_09_29_01__000357555,yyl,2025_09_28_09_29_01,train,1.211084008216858,0,0,0.12281331419944763,0,0.5515931773656912,0.55,keypoint_residual_vehicle_transformer_no_subject
vehicle_instability_allraw__yyl__2025_09_28_09_29_01__000380585__pre3_label3_response_coverage,vehicle_instability_allraw__yyl__2025_09_28_09_29_01__000380585,yyl,2025_09_28_09_29_01,train,1.3021910190582275,0,0,0.18799437582492834,0,0.3505903621540067,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__yyl__2025_09_28_09_29_01__000449070__pre3_label3_response_coverage,vehicle_instability_allraw__yyl__2025_09_28_09_29_01__000449070,yyl,2025_09_28_09_29_01,train,1.127134084701538,0,0,0.024832516908645713,0,0.5919220698831058,0.55,keypoint_residual_vehicle_transformer_no_subject
vehicle_instability_allraw__yyl__2025_09_28_09_29_01__000514465__pre3_label3_response_coverage,vehicle_instability_allraw__yyl__2025_09_28_09_29_01__000514465,yyl,2025_09_28_09_29_01,train,2.017595052719116,1,1,0.1822513341903687,0,0.23733202606127254,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__yyl__2025_09_28_09_29_01__000542080__pre3_label3_response_coverage,vehicle_instability_allraw__yyl__2025_09_28_09_29_01__000542080,yyl,2025_09_28_09_29_01,train,1.3100411891937256,0,0,0.11651772260665888,0,0.4924046174518981,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__yyl__2025_09_28_09_39_01__000375965__pre3_label3_response_coverage,vehicle_instability_allraw__yyl__2025_09_28_09_39_01__000375965,yyl,2025_09_28_09_39_01,train,1.5273334980010986,0,0,0.07177886366844177,0,0.12395455430132717,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__yyl__2025_09_28_09_39_01__000513705__pre3_label3_response_coverage,vehicle_instability_allraw__yyl__2025_09_28_09_39_01__000513705,yyl,2025_09_28_09_39_01,train,1.082103967666626,0,0,0.0959024578332901,0,0.4194308164859126,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__yzy__2025_09_27_14_13_03__000183010__pre3_label3_response_coverage,vehicle_instability_allraw__yzy__2025_09_27_14_13_03__000183010,yzy,2025_09_27_14_13_03,train,1.3213930130004885,0,0,0.5610524863004686,0,0.04364058859186271,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__yzy__2025_09_27_14_13_03__000195245__pre3_label3_response_coverage,vehicle_instability_allraw__yzy__2025_09_27_14_13_03__000195245,yzy,2025_09_27_14_13_03,train,0.4152141809463501,0,0,0.2212825696915388,0,0.008215733923319533,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__yzy__2025_09_27_14_13_03__000216065__pre3_label3_response_coverage,vehicle_instability_allraw__yzy__2025_09_27_14_13_03__000216065,yzy,2025_09_27_14_13_03,train,1.981476664543152,1,1,0.05063691735267645,0,0.48983968312504955,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__yzy__2025_09_27_14_13_03__000407925__pre3_label3_response_coverage,vehicle_instability_allraw__yzy__2025_09_27_14_13_03__000407925,yzy,2025_09_27_14_13_03,train,2.8658339977264404,1,1,0.40492117404937755,0,0.23740442342963952,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__yzy__2025_09_27_14_13_03__000418350__pre3_label3_response_coverage,vehicle_instability_allraw__yzy__2025_09_27_14_13_03__000418350,yzy,2025_09_27_14_13_03,train,1.4049899578094482,0,0,0.2377932220697403,0,0.11087358653993751,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__yzy__2025_09_27_14_13_03__000455460__pre3_label3_response_coverage,vehicle_instability_allraw__yzy__2025_09_27_14_13_03__000455460,yzy,2025_09_27_14_13_03,train,1.5606759786605835,0,0,0.13148166239261627,0,0.467789805974336,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__yzy__2025_09_27_14_13_03__000524525__pre3_label3_response_coverage,vehicle_instability_allraw__yzy__2025_09_27_14_13_03__000524525,yzy,2025_09_27_14_13_03,train,1.4992369413375854,0,0,0.3368997871875763,0,0.6063871005286261,0.55,keypoint_residual_vehicle_transformer_no_subject
vehicle_instability_allraw__yzy__2025_09_27_14_13_03__000543975__pre3_label3_response_coverage,vehicle_instability_allraw__yzy__2025_09_27_14_13_03__000543975,yzy,2025_09_27_14_13_03,train,1.474458932876587,0,0,0.04465189576148987,0,0.5160164586466827,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__yzy__2025_09_27_14_13_03__000573090__pre3_label3_response_coverage,vehicle_instability_allraw__yzy__2025_09_27_14_13_03__000573090,yzy,2025_09_27_14_13_03,train,0.262497991323471,0,0,0.1252842321991921,0,0.0066661664989264785,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__yzy__2025_09_27_15_04_26__000063290__pre3_label3_response_coverage,vehicle_instability_allraw__yzy__2025_09_27_15_04_26__000063290,yzy,2025_09_27_15_04_26,train,1.6285650730133057,0,0,0.33321246504783636,0,0.6940732732841223,0.55,keypoint_residual_vehicle_transformer_no_subject
vehicle_instability_allraw__yzy__2025_09_27_15_07_57__000162845__pre3_label3_response_coverage,vehicle_instability_allraw__yzy__2025_09_27_15_07_57__000162845,yzy,2025_09_27_15_07_57,train,1.1686729192733765,0,0,-0.0062875449657440186,1,0.8283072982826634,0.55,keypoint_residual_vehicle_transformer_no_subject
vehicle_instability_allraw__yzy__2025_09_27_15_07_57__000292475__pre3_label3_response_coverage,vehicle_instability_allraw__yzy__2025_09_27_15_07_57__000292475,yzy,2025_09_27_15_07_57,train,0.4766499996185303,0,0,0.2777348607778549,0,0.48260632543322934,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__yzy__2025_09_27_15_07_57__000328880__pre3_label3_response_coverage,vehicle_instability_allraw__yzy__2025_09_27_15_07_57__000328880,yzy,2025_09_27_15_07_57,train,0.9054773449897766,0,0,0.019988328218460083,0,0.5476783540135542,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__yzy__2025_09_27_15_07_57__000358900__pre3_label3_response_coverage,vehicle_instability_allraw__yzy__2025_09_27_15_07_57__000358900,yzy,2025_09_27_15_07_57,train,1.4224441051483154,0,0,0.2433087974786758,0,0.3344473096816658,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__yzy__2025_09_27_15_07_57__000447025__pre3_label3_response_coverage,vehicle_instability_allraw__yzy__2025_09_27_15_07_57__000447025,yzy,2025_09_27_15_07_57,train,0.5797989964485168,0,0,-0.015564918518066406,1,0.6205573021492136,0.55,keypoint_residual_vehicle_transformer_no_subject
vehicle_instability_allraw__zdq__2025_09_26_15_14_51__000239960__pre3_label3_response_coverage,vehicle_instability_allraw__zdq__2025_09_26_15_14_51__000239960,zdq,2025_09_26_15_14_51,train,5.009788990020752,1,1,1.2095467448234558,0,0.5875818334334884,0.55,keypoint_residual_vehicle_transformer_no_subject
vehicle_instability_allraw__zdq__2025_09_26_15_21_51__000231945__pre3_label3_response_coverage,vehicle_instability_allraw__zdq__2025_09_26_15_21_51__000231945,zdq,2025_09_26_15_21_51,train,0.4852017760276794,0,0,0.21996602416038508,0,0.134999190366981,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__zdq__2025_09_26_15_27_09__000052510__pre3_label3_response_coverage,vehicle_instability_allraw__zdq__2025_09_26_15_27_09__000052510,zdq,2025_09_26_15_27_09,train,1.880071997642517,1,1,0.05243957042694086,0,0.18776542450406852,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__zdq__2025_09_26_15_27_09__000060750__pre3_label3_response_coverage,vehicle_instability_allraw__zdq__2025_09_26_15_27_09__000060750,zdq,2025_09_26_15_27_09,train,0.7620109915733337,0,0,-0.03441640734672541,1,0.4828614444745157,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__zdq__2025_09_26_15_27_09__000456530__pre3_label3_response_coverage,vehicle_instability_allraw__zdq__2025_09_26_15_27_09__000456530,zdq,2025_09_26_15_27_09,train,0.1340409964323043,0,0,0.029003322124481187,0,0.19574143579979422,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__zdq__2025_09_26_15_37_30__000202020__pre3_label3_response_coverage,vehicle_instability_allraw__zdq__2025_09_26_15_37_30__000202020,zdq,2025_09_26_15_37_30,train,0.9688320159912108,0,0,-0.10658030211925501,1,0.46512387099347,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__zdq__2025_09_26_15_52_46__000058070__pre3_label3_response_coverage,vehicle_instability_allraw__zdq__2025_09_26_15_52_46__000058070,zdq,2025_09_26_15_52_46,train,1.419302225112915,0,0,0.15413177013397217,0,0.3896279797917946,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__zdq__2025_09_26_15_52_46__000130370__pre3_label3_response_coverage,vehicle_instability_allraw__zdq__2025_09_26_15_52_46__000130370,zdq,2025_09_26_15_52_46,train,1.4646830558776855,0,0,0.5550456643104555,0,0.01928321373200374,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__zdq__2025_09_26_15_52_46__000577885__pre3_label3_response_coverage,vehicle_instability_allraw__zdq__2025_09_26_15_52_46__000577885,zdq,2025_09_26_15_52_46,train,0.2476623058319091,0,0,0.4640205875039101,0,0.0775086082959372,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__zdq__2025_09_26_16_03_48__000347185__pre3_label3_response_coverage,vehicle_instability_allraw__zdq__2025_09_26_16_03_48__000347185,zdq,2025_09_26_16_03_48,train,1.2025330066680908,0,0,0.2499125301837921,0,0.4908657972672937,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__zdq__2025_09_26_16_03_48__000471380__pre3_label3_response_coverage,vehicle_instability_allraw__zdq__2025_09_26_16_03_48__000471380,zdq,2025_09_26_16_03_48,train,0.4153884053230285,0,0,0.14430752396583557,0,0.12902070769540142,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__zt__2025_09_28_11_20_08__000158280__pre3_label3_response_coverage,vehicle_instability_allraw__zt__2025_09_28_11_20_08__000158280,zt,2025_09_28_11_20_08,train,1.817582130432129,1,1,0.8776247501373289,0,0.024801965285715172,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__zt__2025_09_28_11_20_08__000270535__pre3_label3_response_coverage,vehicle_instability_allraw__zt__2025_09_28_11_20_08__000270535,zt,2025_09_28_11_20_08,train,1.5015029907226562,0,0,0.1347179114818573,0,0.3196233886018466,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__zt__2025_09_28_11_20_08__000416365__pre3_label3_response_coverage,vehicle_instability_allraw__zt__2025_09_28_11_20_08__000416365,zt,2025_09_28_11_20_08,train,0.9772099256515504,0,0,0.23665067553520203,0,0.1744703304829151,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__zt__2025_09_28_11_20_08__000472990__pre3_label3_response_coverage,vehicle_instability_allraw__zt__2025_09_28_11_20_08__000472990,zt,2025_09_28_11_20_08,train,1.2395299673080444,0,0,-0.052408248186111506,1,0.8003153649915385,0.55,keypoint_residual_vehicle_transformer_no_subject
vehicle_instability_allraw__zx__2025_09_27_16_32_00__000101585__pre3_label3_response_coverage,vehicle_instability_allraw__zx__2025_09_27_16_32_00__000101585,zx,2025_09_27_16_32_00,train,0.016240119934082,0,0,0.0465180519968271,0,0.005756453047220641,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__zx__2025_09_27_16_32_00__000312575__pre3_label3_response_coverage,vehicle_instability_allraw__zx__2025_09_27_16_32_00__000312575,zx,2025_09_27_16_32_00,train,2.528111934661865,1,1,0.3185219168663025,0,0.3355435511197483,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__zx__2025_09_27_16_32_00__000398300__pre3_label3_response_coverage,vehicle_instability_allraw__zx__2025_09_27_16_32_00__000398300,zx,2025_09_27_16_32_00,train,1.5521210432052612,0,0,0.05346232652664179,0,0.19618951124097742,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__zx__2025_09_27_16_32_00__000421025__pre3_label3_response_coverage,vehicle_instability_allraw__zx__2025_09_27_16_32_00__000421025,zx,2025_09_27_16_32_00,train,2.673145532608032,1,1,0.6374628543853761,0,0.2514597277830924,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__zx__2025_09_27_16_32_00__000490620__pre3_label3_response_coverage,vehicle_instability_allraw__zx__2025_09_27_16_32_00__000490620,zx,2025_09_27_16_32_00,train,1.7626051902770996,1,1,0.5858763605356216,0,0.1381135725717879,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__zx__2025_09_27_16_32_00__000645585__pre3_label3_response_coverage,vehicle_instability_allraw__zx__2025_09_27_16_32_00__000645585,zx,2025_09_27_16_32_00,train,0.9735440015792848,0,0,0.0812959149479866,0,0.6338854777850539,0.55,keypoint_residual_vehicle_transformer_no_subject
vehicle_instability_allraw__zx__2025_09_27_17_14_07__000103335__pre3_label3_response_coverage,vehicle_instability_allraw__zx__2025_09_27_17_14_07__000103335,zx,2025_09_27_17_14_07,train,1.7589459419250488,1,1,0.161246657371521,0,0.4704201175788496,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__zx__2025_09_27_17_14_07__000412950__pre3_label3_response_coverage,vehicle_instability_allraw__zx__2025_09_27_17_14_07__000412950,zx,2025_09_27_17_14_07,train,2.064727067947388,1,1,0.2279033660888672,0,0.5144699978232317,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__zx__2025_09_27_17_25_16__000018420__pre3_label3_response_coverage,vehicle_instability_allraw__zx__2025_09_27_17_25_16__000018420,zx,2025_09_27_17_25_16,train,1.8886197805404663,1,1,0.9528535753488538,0,0.1901036920060212,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__zx__2025_09_27_17_25_16__000055950__pre3_label3_response_coverage,vehicle_instability_allraw__zx__2025_09_27_17_25_16__000055950,zx,2025_09_27_17_25_16,train,1.3517570495605469,0,0,0.12805718183517456,0,0.39983675331469004,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__zx__2025_09_27_17_29_08__000177210__pre3_label3_response_coverage,vehicle_instability_allraw__zx__2025_09_27_17_29_08__000177210,zx,2025_09_27_17_29_08,train,1.1142178773880005,0,0,0.14993494749069214,0,0.06884328898467709,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__zx__2025_09_27_17_29_08__000199530__pre3_label3_response_coverage,vehicle_instability_allraw__zx__2025_09_27_17_29_08__000199530,zx,2025_09_27_17_29_08,train,0.3534294962882995,0,0,0.022841215133666992,0,0.004598566337839527,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__zx__2025_09_27_17_56_42__000080875__pre3_label3_response_coverage,vehicle_instability_allraw__zx__2025_09_27_17_56_42__000080875,zx,2025_09_27_17_56_42,train,1.4098749160766602,0,0,0.11356109380722051,0,0.9113878486008036,0.55,keypoint_residual_vehicle_transformer_no_subject
vehicle_instability_allraw__zx__2025_09_27_17_56_42__000108650__pre3_label3_response_coverage,vehicle_instability_allraw__zx__2025_09_27_17_56_42__000108650,zx,2025_09_27_17_56_42,train,0.9222320318222046,0,0,0.0664426982402801,0,0.36419466462784844,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__zx__2025_09_27_18_07_01__000048255__pre3_label3_response_coverage,vehicle_instability_allraw__zx__2025_09_27_18_07_01__000048255,zx,2025_09_27_18_07_01,train,1.1325459480285645,0,0,0.2905150353908539,0,0.3727553647488612,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__zx__2025_09_27_18_07_01__000071310__pre3_label3_response_coverage,vehicle_instability_allraw__zx__2025_09_27_18_07_01__000071310,zx,2025_09_27_18_07_01,train,1.6484609842300415,1,0,0.31719157099723816,0,0.7071476998357316,0.55,keypoint_residual_vehicle_transformer_no_subject
vehicle_instability_allraw__zx__2025_09_27_18_07_01__000376460__pre3_label3_response_coverage,vehicle_instability_allraw__zx__2025_09_27_18_07_01__000376460,zx,2025_09_27_18_07_01,train,0.0083799362182617,0,0,0.0480134512763471,0,0.0015467824067516465,0.55,rbf_kernel_ridge_context_no_subject
