sample_id,event_uid,subject,session_stamp,window_config_id,split_strategy,split,model_name,sample_rmse,gt_peak_abs,pred_peak_abs,peak_amp_abs_error,peak_amp_ratio_pred_over_gt,peak_direction_match,wrong_side,peak_time_abs_error_s,onset_delay_abs_error_s,tail_abs_error,tail_drift_risk,zero_crossing_mismatch,gt_reversal_count,pred_reversal_count,reversal_count_exact,gt_multi_segment,pred_multi_segment,is_large_response,large_response_recalled,severe_amp_under,is_difficult_peak_top20,track_id
vehicle_instability_allraw__jy__2025_09_26_17_17_11__000414405__pre3_label3_response_coverage,vehicle_instability_allraw__jy__2025_09_26_17_17_11__000414405,jy,2025_09_26_17_17_11,pre3_label3_response_coverage,session_level_split,train,selector_logreg_rbf_keypoint_no_subject,0.3020745515823364,2.3631784915924072,1.7464795112609863,0.6166989803314209,0.7390383407239528,1,0,0.0400000810623168,0.0,0.0499647706747055,0,0,5,67,0,1,1,1,1,0,1,B_response3s_strict_core
vehicle_instability_allraw__jy__2025_09_26_17_17_11__000547665__pre3_label3_response_coverage,vehicle_instability_allraw__jy__2025_09_26_17_17_11__000547665,jy,2025_09_26_17_17_11,pre3_label3_response_coverage,session_level_split,train,selector_logreg_rbf_keypoint_no_subject,0.0468060374259948,0.2883279919624328,0.2480839639902115,0.0402440279722213,0.860422750845971,1,0,1.084999978542328,0.1949999928474426,0.0531612932682037,0,1,1,39,0,0,1,0,0,0,0,B_response3s_strict_core
vehicle_instability_allraw__jy__2025_09_26_17_29_44__000426110__pre3_label3_response_coverage,vehicle_instability_allraw__jy__2025_09_26_17_29_44__000426110,jy,2025_09_26_17_29_44,pre3_label3_response_coverage,session_level_split,train,selector_logreg_rbf_keypoint_no_subject,0.4173553884029388,1.9676820039749143,1.548459529876709,0.4192224740982055,0.786946024179042,1,0,0.2300000190734863,0.005000002682209,0.3818228095769882,0,0,3,76,0,1,1,1,1,0,1,B_response3s_strict_core
vehicle_instability_allraw__jy__2025_09_26_17_29_44__000500270__pre3_label3_response_coverage,vehicle_instability_allraw__jy__2025_09_26_17_29_44__000500270,jy,2025_09_26_17_29_44,pre3_label3_response_coverage,session_level_split,train,selector_logreg_rbf_keypoint_no_subject,0.1101447343826294,1.6941959857940674,1.5383963584899902,0.1557996273040771,0.9080391946324592,1,0,0.3249999284744262,0.1850000023841858,0.0430924594402313,0,1,1,37,0,0,1,1,1,0,0,B_response3s_strict_core
vehicle_instability_allraw__jy__2025_09_26_17_29_44__000535550__pre3_label3_response_coverage,vehicle_instability_allraw__jy__2025_09_26_17_29_44__000535550,jy,2025_09_26_17_29_44,pre3_label3_response_coverage,session_level_split,train,selector_logreg_rbf_keypoint_no_subject,0.1054359376430511,0.232304036617279,0.2400218248367309,0.0077177882194519,1.0332227899774593,0,1,1.3350000381469729,0.0,0.0054287537932395,0,0,1,12,0,0,1,0,0,0,0,B_response3s_strict_core
vehicle_instability_allraw__jy__2025_09_26_17_29_44__000540950__pre3_label3_response_coverage,vehicle_instability_allraw__jy__2025_09_26_17_29_44__000540950,jy,2025_09_26_17_29_44,pre3_label3_response_coverage,session_level_split,train,selector_logreg_rbf_keypoint_no_subject,0.0477919243276119,0.9101839661598206,0.8185536861419678,0.0916302800178527,0.899327736562475,1,0,0.0300000309944152,0.0199999958276748,0.0229347646236419,0,0,7,7,1,1,1,0,0,0,0,B_response3s_strict_core
vehicle_instability_allraw__jy__2025_09_26_17_40_51__000069905__pre3_label3_response_coverage,vehicle_instability_allraw__jy__2025_09_26_17_40_51__000069905,jy,2025_09_26_17_40_51,pre3_label3_response_coverage,session_level_split,train,selector_logreg_rbf_keypoint_no_subject,0.2146531790494918,1.167451024055481,1.2655378580093384,0.0980868339538574,1.0840179433079122,1,0,0.1000000238418579,0.0249999985098838,0.0710947662591934,0,0,8,84,0,1,1,0,0,0,0,B_response3s_strict_core
vehicle_instability_allraw__jy__2025_09_26_17_40_51__000228515__pre3_label3_response_coverage,vehicle_instability_allraw__jy__2025_09_26_17_40_51__000228515,jy,2025_09_26_17_40_51,pre3_label3_response_coverage,session_level_split,train,selector_logreg_rbf_keypoint_no_subject,0.6089252233505249,2.8728153705596924,1.774891376495361,1.097923994064331,0.6178229880988038,1,0,0.0950000286102294,0.7299999743700027,0.4327550232410431,0,0,3,75,0,1,1,1,1,0,1,B_response3s_strict_core
vehicle_instability_allraw__jy__2025_09_26_17_40_51__000445490__pre3_label3_response_coverage,vehicle_instability_allraw__jy__2025_09_26_17_40_51__000445490,jy,2025_09_26_17_40_51,pre3_label3_response_coverage,session_level_split,train,selector_logreg_rbf_keypoint_no_subject,0.2137268483638763,0.1183339953422546,0.3643492758274078,0.2460152804851532,3.078990739504814,0,1,1.2850000858306885,0.0649999976158142,0.0010288301855325,0,1,1,115,0,0,1,0,0,0,0,B_response3s_strict_core
vehicle_instability_allraw__jy__2025_09_26_17_40_51__000526105__pre3_label3_response_coverage,vehicle_instability_allraw__jy__2025_09_26_17_40_51__000526105,jy,2025_09_26_17_40_51,pre3_label3_response_coverage,session_level_split,train,selector_logreg_rbf_keypoint_no_subject,0.3975248634815216,0.9201330542564392,1.3397135734558103,0.4195805191993713,1.455999833131128,0,1,0.925000011920929,0.0150000005960464,0.2304332591593265,0,0,2,51,0,1,1,0,0,0,0,B_response3s_strict_core
