sample_id,formal_rmse,gt_peak_abs,selected_rmse,delta_selected_minus_formal
vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000701035__pre2_label2_old_main,0.44784966111183167,1.198164939880371,0.6260129809379578,0.1781633198261261
vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000060335__pre2_label2_old_main,0.8404521942138672,1.6409621238708496,0.761959969997406,-0.07849222421646118
vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000088105__pre2_label2_old_main,0.5489326119422913,1.1356894969940186,0.5828773379325867,0.03394472599029541
vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000134505__pre2_label2_old_main,0.9052053093910217,1.2440659999847412,0.9654766321182251,0.06027132272720337
vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000160880__pre2_label2_old_main,0.6149289011955261,1.4582189321517944,0.18546725809574127,-0.42946164309978485
vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000202260__pre2_label2_old_main,0.6982986927032471,1.102524995803833,0.3255833685398102,-0.3727153241634369
vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000221890__pre2_label2_old_main,1.121194839477539,1.6784822940826416,0.8022438287734985,-0.3189510107040405
vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000238815__pre2_label2_old_main,0.17568713426589966,0.5290089845657349,0.5176467299461365,0.3419595956802368
vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000280645__pre2_label2_old_main,0.06558774411678314,0.18832123279571533,0.11724566668272018,0.05165792256593704
vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000310025__pre2_label2_old_main,0.32630884647369385,1.4090020656585693,0.41534557938575745,0.0890367329120636
vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000320800__pre2_label2_old_main,0.2545705735683441,0.9306093454360962,0.39936766028404236,0.14479708671569824
vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000326200__pre2_label2_old_main,1.0219638347625732,1.3070790767669678,0.49485018849372864,-0.5271136462688446
vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000341895__pre2_label2_old_main,0.46878087520599365,1.0786139965057373,0.24439489841461182,-0.22438597679138184
vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000360590__pre2_label2_old_main,0.3889879584312439,0.8333950042724609,0.6671738028526306,0.2781858444213867
vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000496480__pre2_label2_old_main,0.378663033246994,0.7867940068244934,0.23527584969997406,-0.14338718354701996
vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000504660__pre2_label2_old_main,0.27996325492858887,0.7967429757118225,0.15151265263557434,-0.12845060229301453
vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000558910__pre2_label2_old_main,0.44700345396995544,1.2337727546691895,0.19198384881019592,-0.2550196051597595
vehicle_instability_allraw__hzh__2025_09_27_19_44_05__000051370__pre2_label2_old_main,0.16216088831424713,0.29461199045181274,0.20318160951137543,0.041020721197128296
vehicle_instability_allraw__hzh__2025_09_27_19_44_05__000081885__pre2_label2_old_main,0.8213043212890625,1.791234016418457,0.2385229915380478,-0.5827813297510147
vehicle_instability_allraw__hzh__2025_09_27_19_44_05__000128910__pre2_label2_old_main,0.8149586915969849,1.6067509651184082,0.49756085872650146,-0.3173978328704834
