subject,session_stamp,vehicle_raw_relative_path,mapping_status,sampled_point_count,t_start_rel_s,t_end_rel_s,median_nearest_dist_m,p90_nearest_dist_m,high_point_ratio,medium_or_better_point_ratio,dominant_instance_name
yzy,2025_09_27_15_07_57,原始车辆数据/yzy/Entity_Recording_2025_09_27_15_07_57_vehicle.csv,ok,5856,0.0,585.5,280.393,941.317,0.2227,0.2584,mu1
zdq,2025_09_26_15_14_51,原始车辆数据/zdq/Entity_Recording_2025_09_26_15_14_51_vehicle.csv,ok,3555,0.0,355.405,224.071,273.997,0.4225,0.4506,curve1
zdq,2025_09_26_15_21_51,原始车辆数据/zdq/Entity_Recording_2025_09_26_15_21_51_vehicle.csv,ok,2619,0.0,261.8,46.324,1222.39,0.4845,0.5216,curve1
zdq,2025_09_26_15_27_09,原始车辆数据/zdq/Entity_Recording_2025_09_26_15_27_09_vehicle.csv,ok,5414,0.0,541.305,272.963,953.136,0.2277,0.2636,mu1
zdq,2025_09_26_15_37_30,原始车辆数据/zdq/Entity_Recording_2025_09_26_15_37_30_vehicle.csv,ok,5237,0.0,523.6,273.316,956.053,0.2288,0.266,mu1
zdq,2025_09_26_15_52_46,原始车辆数据/zdq/Entity_Recording_2025_09_26_15_52_46_vehicle.csv,ok,6014,0.0,601.305,272.966,941.567,0.214,0.2742,mu1
zdq,2025_09_26_16_03_48,原始车辆数据/zdq/Entity_Recording_2025_09_26_16_03_48_vehicle.csv,ok,5579,0.0,557.8,273.376,941.52,0.2418,0.2891,mu1
zt,2025_09_28_11_20_08,原始车辆数据/zt/Entity_Recording_2025_09_28_11_20_08_vehicle.csv,ok,6249,0.0,624.805,280.105,951.858,0.2492,0.2852,mu1
zx,2025_09_27_16_32_00,原始车辆数据/zx/Entity_Recording_2025_09_27_16_32_00_vehicle.csv,ok,7003,0.0,700.2,280.143,959.391,0.2942,0.3563,mu1
zx,2025_09_27_16_46_13,原始车辆数据/zx/Entity_Recording_2025_09_27_16_46_13_vehicle.csv,ok,7101,0.0,710.0,280.48,928.894,0.2115,0.3292,curve1
zx,2025_09_27_17_14_07,原始车辆数据/zx/Entity_Recording_2025_09_27_17_14_07_vehicle.csv,ok,5617,0.0,561.605,280.158,859.896,0.3009,0.3174,fix_road
zx,2025_09_27_17_25_16,原始车辆数据/zx/Entity_Recording_2025_09_27_17_25_16_vehicle.csv,ok,1387,0.0,138.605,5.174,51.458,0.7477,0.9322,curve1
zx,2025_09_27_17_29_08,原始车辆数据/zx/Entity_Recording_2025_09_27_17_29_08_vehicle.csv,ok,4266,0.0,426.5,1534.35,5610.76,0.3331,0.4048,curve1
zx,2025_09_27_17_37_54,原始车辆数据/zx/Entity_Recording_2025_09_27_17_37_54_vehicle.csv,ok,774,0.0,77.305,3.658,6.774,1.0,1.0,section1
zx,2025_09_27_17_40_06,原始车辆数据/zx/Entity_Recording_2025_09_27_17_40_06_vehicle.csv,ok,142,0.0,14.1,8.496,8.496,1.0,1.0,section1
zx,2025_09_27_17_40_34,原始车辆数据/zx/Entity_Recording_2025_09_27_17_40_34_vehicle.csv,ok,383,0.0,38.2,8.496,8.496,1.0,1.0,section1
zx,2025_09_27_17_45_11,原始车辆数据/zx/Entity_Recording_2025_09_27_17_45_11_vehicle.csv,ok,6239,0.0,623.805,282.667,955.602,0.2127,0.2425,mu1
zx,2025_09_27_17_56_42,原始车辆数据/zx/Entity_Recording_2025_09_27_17_56_42_vehicle.csv,ok,1696,0.0,169.5,5.703,77.728,0.8626,0.9157,section1
zx,2025_09_27_18_00_08,原始车辆数据/zx/Entity_Recording_2025_09_27_18_00_08_vehicle.csv,ok,3798,0.0,379.705,1741.117,5614.229,0.3323,0.3823,curve1
zx,2025_09_27_18_07_01,原始车辆数据/zx/Entity_Recording_2025_09_27_18_07_01_vehicle.csv,ok,6018,0.0,601.705,281.55,914.533,0.2747,0.349,mu1
zx,2025_09_27_18_17_48,原始车辆数据/zx/Entity_Recording_2025_09_27_18_17_48_vehicle.csv,ok,5729,0.0,572.805,281.944,923.387,0.2503,0.2857,mu1
zxy,2025_09_28_15_57_38,原始车辆数据/zxy/Entity_Recording_2025_09_28_15_57_38_vehicle.csv,ok,2008,0.0,200.7,5.029,40.461,0.885,0.9343,section1
zxy,2025_09_28_16_01_55,原始车辆数据/zxy/Entity_Recording_2025_09_28_16_01_55_vehicle.csv,ok,5628,0.0,562.7,3361.528,5496.386,0.2452,0.2854,curve1
zxy,2025_09_28_16_12_11,原始车辆数据/zxy/Entity_Recording_2025_09_28_16_12_11_vehicle.csv,ok,6140,0.0,613.905,283.084,983.959,0.2208,0.259,mu1
zxy,2025_09_28_16_25_33,原始车辆数据/zxy/Entity_Recording_2025_09_28_16_25_33_vehicle.csv,ok,23,0.0,2.2,8.5,8.5,1.0,1.0,section1
zxy,2025_09_28_16_25_51,原始车辆数据/zxy/Entity_Recording_2025_09_28_16_25_51_vehicle.csv,ok,5562,0.0,556.105,282.826,958.012,0.2161,0.2567,mu1
zxy,2025_09_28_16_35_30,原始车辆数据/zxy/Entity_Recording_2025_09_28_16_35_30_vehicle.csv,ok,7987,0.0,798.605,280.015,895.705,0.1764,0.2828,mu1
