seed,fold,population,model,channel,windows,mae,rmse,endpoint_mae
20260904,2,low_mu_v2_70,extra_trees,action_macro,22,0.6972796320915222,1.2558273077011108,1.0056781768798828
20260904,2,low_mu_v2_70,transformer,steer_deg,22,3.6699352264404297,5.314853668212891,4.79816484451294
20260904,2,low_mu_v2_70,transformer,brake,22,0.0073602222837507,0.0194889474660158,0.0097120692953467
20260904,2,low_mu_v2_70,transformer,accelerator,22,0.0517850220203399,0.0857533738017082,0.0752869322896003
20260904,2,low_mu_v2_70,transformer,speed_kmh,22,0.1807402819395065,0.3160258531570434,0.355643093585968
20260904,2,low_mu_v2_70,transformer,action_macro,22,0.6389639377593994,1.1864922046661377,0.8865376114845276
20260904,2,low_mu_v2_70,et_transformer_residual,steer_deg,22,4.013609886169434,5.654632568359375,4.974857807159424
20260904,2,low_mu_v2_70,et_transformer_residual,brake,22,0.0074924654327332,0.0212354157119989,0.0113593572750687
20260904,2,low_mu_v2_70,et_transformer_residual,accelerator,22,0.0484744422137737,0.0846912339329719,0.0743842050433158
20260904,2,low_mu_v2_70,et_transformer_residual,speed_kmh,22,0.2297271341085434,0.4089419543743133,0.4884945154190063
20260904,2,low_mu_v2_70,et_transformer_residual,action_macro,22,0.6406867504119873,1.2011680603027344,0.9032809734344482
20260904,2,high_dynamic_not_started,hold,steer_deg,1714,13.948095321655272,31.257593154907227,28.027462005615234
20260904,2,high_dynamic_not_started,hold,brake,1714,0.0330875553190708,0.0894869342446327,0.058730099350214
20260904,2,high_dynamic_not_started,hold,accelerator,1714,0.0244939234107732,0.0849998295307159,0.0472368709743022
20260904,2,high_dynamic_not_started,hold,speed_kmh,1714,3.3744759559631348,5.435163974761963,6.105399131774902
20260904,2,high_dynamic_not_started,hold,action_macro,1714,1.3137496709823608,3.8804914951324463,2.574943780899048
20260904,2,high_dynamic_not_started,linear,steer_deg,1714,14.374678611755373,31.765121459960938,29.01711082458496
20260904,2,high_dynamic_not_started,linear,brake,1714,0.0490874871611595,0.0924105793237686,0.0759372785687446
20260904,2,high_dynamic_not_started,linear,accelerator,1714,0.0257757119834423,0.0859417170286178,0.0497679822146892
20260904,2,high_dynamic_not_started,linear,speed_kmh,1714,1.2488304376602173,3.0251030921936035,2.767604351043701
20260904,2,high_dynamic_not_started,linear,action_macro,1714,1.4573999643325806,3.9467787742614746,2.7725090980529785
20260904,2,high_dynamic_not_started,extra_trees,steer_deg,1714,12.24953556060791,23.05844497680664,21.21340560913086
20260904,2,high_dynamic_not_started,extra_trees,brake,1714,0.0406922996044158,0.0792113915085792,0.0655660033226013
20260904,2,high_dynamic_not_started,extra_trees,accelerator,1714,0.0392624884843826,0.0801912993192672,0.0723648592829704
20260904,2,high_dynamic_not_started,extra_trees,speed_kmh,1714,1.00517475605011,2.105402708053589,2.0627002716064453
20260904,2,high_dynamic_not_started,extra_trees,action_macro,1714,1.3496675491333008,2.9636526107788086,2.333766222000122
20260904,2,high_dynamic_not_started,transformer,steer_deg,1714,13.557592391967772,25.465261459350582,24.513702392578125
20260904,2,high_dynamic_not_started,transformer,brake,1714,0.0365073308348655,0.0820471718907356,0.0611231662333011
20260904,2,high_dynamic_not_started,transformer,accelerator,1714,0.0341686494648456,0.082045704126358,0.0593371912837028
20260904,2,high_dynamic_not_started,transformer,speed_kmh,1714,1.4185423851013184,2.836026191711426,2.867753744125366
20260904,2,high_dynamic_not_started,transformer,action_macro,1714,1.375012755393982,3.231329679489136,2.4373157024383545
20260904,2,high_dynamic_not_started,et_transformer_residual,steer_deg,1714,12.128665924072266,23.306175231933597,21.05491828918457
20260904,2,high_dynamic_not_started,et_transformer_residual,brake,1714,0.0345567241311073,0.0786529034376144,0.0573897808790206
20260904,2,high_dynamic_not_started,et_transformer_residual,accelerator,1714,0.0335332155227661,0.0815814882516861,0.060176134109497
20260904,2,high_dynamic_not_started,et_transformer_residual,speed_kmh,1714,1.0053547620773315,2.1187758445739746,2.001901626586914
20260904,2,high_dynamic_not_started,et_transformer_residual,action_macro,1714,1.2625105381011963,2.9924256801605225,2.187433958053589
20260904,2,action_started,hold,steer_deg,82401,10.26268482208252,21.98943328857422,16.761476516723633
20260904,2,action_started,hold,brake,82401,0.0099880723282694,0.0506093651056289,0.0166269913315773
20260904,2,action_started,hold,accelerator,82401,0.0585479624569416,0.1099241077899932,0.0829227939248085
20260904,2,action_started,hold,speed_kmh,82401,1.2433011531829834,2.4149279594421387,2.341050863265991
20260904,2,action_started,hold,action_macro,82401,1.141086220741272,2.89823317527771,1.7810969352722168
20260904,2,action_started,linear,steer_deg,82401,15.637490272521973,33.98761367797852,30.686368942260746
20260904,2,action_started,linear,brake,82401,0.0383906252682209,0.0698610618710517,0.0478754825890064
20260904,2,action_started,linear,accelerator,82401,0.0772234946489334,0.1353985071182251,0.1227611899375915
20260904,2,action_started,linear,speed_kmh,82401,0.4684691727161407,1.5408921241760254,1.020965337753296
20260904,2,action_started,linear,action_macro,82401,1.8132597208023071,4.300839424133301,3.183335542678833
20260904,2,action_started,extra_trees,steer_deg,82401,7.774717330932617,15.873767852783203,11.911001205444336
20260904,2,action_started,extra_trees,brake,82401,0.0125572700053453,0.0452177822589874,0.0210630502551794
20260904,2,action_started,extra_trees,accelerator,82401,0.0619112811982631,0.1035682782530784,0.0890225246548652
20260904,2,action_started,extra_trees,speed_kmh,82401,0.3861702084541321,1.065619945526123,0.8471375703811646
20260904,2,action_started,extra_trees,action_macro,82401,1.0147721767425537,2.249998092651367,1.527970552444458
