recurrence_rank,event_uid,subject,session_stamp,possible_config_model_count,high_rmse_top20_count,high_rmse_top20_rate,mean_sample_rmse,max_sample_rmse,mean_gt_peak_abs,is_large_response_any,wrong_side_count,severe_amp_under_count,tail_drift_count,zero_crossing_mismatch_count,reversal_mismatch_count,multi_segment_mismatch_count,large_response_missed_count,peak_time_large_error_count,onset_delay_large_error_count,configs_in_bad_top20,models_in_bad_top20
28,vehicle_instability_allraw__hzh__2025_09_27_19_33_25__000337550,hzh,2025_09_27_19_33_25,5,5,1.0,3.4662330627441404,3.916294574737549,6.233269691467285,1,0,5,5,0,5,5,5,1,5,subject_main,direction_gated_knn_template_no_subject;formal_ridge_vehicle_context_no_subject;knn_template_context_no_subject;peak_scaled_template_context_no_subject;rbf_kernel_ridge_context_no_subject
29,vehicle_instability_allraw__gzj__2025_09_27_12_28_14__000231185,gzj,2025_09_27_12_28_14,5,5,1.0,2.6496964931488036,2.93123459815979,3.3576600551605225,1,5,5,5,4,5,0,5,1,3,subject_main,direction_gated_knn_template_no_subject;formal_ridge_vehicle_context_no_subject;knn_template_context_no_subject;peak_scaled_template_context_no_subject;rbf_kernel_ridge_context_no_subject
30,vehicle_instability_allraw__gzj__2025_09_27_11_41_47__000353715,gzj,2025_09_27_11_41_47,5,5,1.0,1.97941255569458,2.374054193496704,2.2739901542663574,1,4,3,5,4,5,0,3,1,4,subject_main,direction_gated_knn_template_no_subject;formal_ridge_vehicle_context_no_subject;knn_template_context_no_subject;peak_scaled_template_context_no_subject;rbf_kernel_ridge_context_no_subject
31,vehicle_instability_allraw__txj__2025_09_27_08_40_46__000660595,txj,2025_09_27_08_40_46,5,5,1.0,1.4826186776161194,2.1870815753936768,2.206793069839477,1,3,4,3,2,5,0,4,1,0,random_main,direction_gated_knn_template_no_subject;formal_ridge_vehicle_context_no_subject;knn_template_context_no_subject;peak_scaled_template_context_no_subject;rbf_kernel_ridge_context_no_subject
32,vehicle_instability_allraw__zx__2025_09_27_16_32_00__000163770,zx,2025_09_27_16_32_00,5,5,1.0,2.047248649597168,2.180217266082764,2.6881561279296875,1,0,5,5,5,5,5,5,4,5,random_main,direction_gated_knn_template_no_subject;formal_ridge_vehicle_context_no_subject;knn_template_context_no_subject;peak_scaled_template_context_no_subject;rbf_kernel_ridge_context_no_subject
33,vehicle_instability_allraw__zx__2025_09_27_16_32_00__000421025,zx,2025_09_27_16_32_00,5,5,1.0,1.5701988220214844,1.853332042694092,2.673145532608032,1,5,5,0,0,5,0,5,5,4,random_main,direction_gated_knn_template_no_subject;formal_ridge_vehicle_context_no_subject;knn_template_context_no_subject;peak_scaled_template_context_no_subject;rbf_kernel_ridge_context_no_subject
34,vehicle_instability_allraw__gzj__2025_09_27_11_41_47__000413415,gzj,2025_09_27_11_41_47,5,5,1.0,1.4352065563201903,1.8176337480545044,2.721312999725342,1,1,5,5,0,5,0,5,1,5,subject_main,direction_gated_knn_template_no_subject;formal_ridge_vehicle_context_no_subject;knn_template_context_no_subject;peak_scaled_template_context_no_subject;rbf_kernel_ridge_context_no_subject
35,vehicle_instability_allraw__txj__2025_09_27_08_40_46__000127395,txj,2025_09_27_08_40_46,5,5,1.0,1.6817845106124878,1.797641634941101,4.216361999511719,1,0,5,0,0,4,0,5,0,5,random_main,direction_gated_knn_template_no_subject;formal_ridge_vehicle_context_no_subject;knn_template_context_no_subject;peak_scaled_template_context_no_subject;rbf_kernel_ridge_context_no_subject
36,vehicle_instability_allraw__zx__2025_09_27_17_14_07__000249170,zx,2025_09_27_17_14_07,5,5,1.0,1.0660831212997437,1.7741317749023438,2.5631861686706543,1,0,1,1,0,5,0,1,0,1,random_main,direction_gated_knn_template_no_subject;formal_ridge_vehicle_context_no_subject;knn_template_context_no_subject;peak_scaled_template_context_no_subject;rbf_kernel_ridge_context_no_subject
37,vehicle_instability_allraw__byx__2025_09_28_17_15_52__000058865,byx,2025_09_28_17_15_52,5,5,1.0,1.2284681797027588,1.641936421394348,2.1975419521331787,1,2,5,0,0,4,0,5,0,5,subject_main,direction_gated_knn_template_no_subject;formal_ridge_vehicle_context_no_subject;knn_template_context_no_subject;peak_scaled_template_context_no_subject;rbf_kernel_ridge_context_no_subject
