window_config_id,split_strategy,split,model_name,n_samples,rmse_steer,peak_direction_accuracy,wrong_side_rate,large_response_recall,peak_amp_mae,peak_amp_ratio_pred_over_gt_mean,severe_amp_under_rate,peak_time_mae_s,onset_delay_mae_s,tail_abs_error_mean,tail_drift_risk_rate,zero_crossing_mismatch_rate,reversal_count_exact_match_rate,multi_segment_gt_rate,multi_segment_pred_rate,difficult_top20_rmse,track_id,policy_name,rbf_ref_rmse,rbf_ref_wrong_side,rbf_ref_large_recall,rbf_ref_difficult_rmse,rmse_delta_vs_rbf,wrong_side_delta_vs_rbf,large_recall_delta_vs_rbf,difficult_rmse_delta_vs_rbf
pre3_label3_response_coverage,session_level_split,train,logreg_balanced_c1__fallback_rbf_conf_lt_0.45,188,0.38469566373811936,0.9095744680851063,0.09042553191489362,0.8936170212765957,0.31837585958790904,0.9907915707037594,0.06382978723404255,0.36805850354597924,0.25811170239714865,0.19741234570771687,0.11170212765957446,0.13829787234042554,0.14893617021276595,0.925531914893617,0.75,0.56676640387945,B_response3s_strict_core,logreg_balanced_c1__fallback_rbf_conf_lt_0.45,0.33011095985179567,0.05851063829787234,0.9148936170212766,0.520692098776021,0.05458470388632369,0.03191489361702128,-0.021276595744680882,0.046074305103429025
pre3_label3_response_coverage,session_level_split,val,logreg_balanced_c1__fallback_rbf_conf_lt_0.45,42,0.6133409990496254,0.9285714285714286,0.07142857142857142,0.5,0.5192361630144573,2.349734201845713,0.16666666666666666,0.5238095202616283,0.3895238073365319,0.24865140781427422,0.11904761904761904,0.14285714285714285,0.16666666666666666,0.9285714285714286,0.8333333333333334,0.8704502890392852,B_response3s_strict_core,logreg_balanced_c1__fallback_rbf_conf_lt_0.45,0.5714822247805078,0.11904761904761904,0.5,0.9109325436974252,0.04185877426911755,-0.047619047619047616,0.0,-0.04048225465813993
pre3_label3_response_coverage,session_level_split,test,logreg_balanced_c1__fallback_rbf_conf_lt_0.55,40,0.5361030353308212,0.775,0.225,0.75,0.44886352829635146,1.3445665974875751,0.15,0.42774999886751175,0.3198750002542511,0.21000915792537853,0.075,0.125,0.05,0.95,0.825,0.6247905118736176,B_response3s_strict_core,logreg_balanced_c1__fallback_rbf_conf_lt_0.55,0.5336666894389569,0.225,0.75,0.6789069643375906,0.0024363458918642555,0.0,0.0,-0.05411645246397301
pre3_label3_response_coverage,session_level_split,train,logreg_balanced_c1__fallback_rbf_conf_lt_0.55,188,0.34409666323072113,0.9202127659574468,0.0797872340425532,0.9148936170212766,0.31306257029559387,0.9818374087114772,0.05319148936170213,0.3525797828556375,0.2364361690595112,0.16701324548085586,0.09574468085106383,0.12234042553191489,0.12234042553191489,0.925531914893617,0.8297872340425532,0.5084403259066561,B_response3s_strict_core,logreg_balanced_c1__fallback_rbf_conf_lt_0.55,0.33011095985179567,0.05851063829787234,0.9148936170212766,0.520692098776021,0.013985703378925463,0.021276595744680854,0.0,-0.012251772869364852
pre3_label3_response_coverage,session_level_split,val,logreg_balanced_c1__fallback_rbf_conf_lt_0.55,42,0.5902689745801819,0.9047619047619048,0.09523809523809523,0.5,0.5277767181396484,2.3163021818070795,0.21428571428571427,0.4922619029169991,0.46297618706843685,0.229049461938086,0.09523809523809523,0.14285714285714285,0.11904761904761904,0.9285714285714286,0.8809523809523809,0.9109325436974252,B_response3s_strict_core,logreg_balanced_c1__fallback_rbf_conf_lt_0.55,0.5714822247805078,0.11904761904761904,0.5,0.9109325436974252,0.018786749799674096,-0.023809523809523808,0.0,0.0
pre3_label3_response_coverage,session_level_split,test,logreg_balanced_c1__fallback_rbf_conf_lt_0.65,40,0.5401165475999716,0.775,0.225,0.75,0.45888397209346293,1.3411299739141125,0.15,0.42699999660253524,0.3181249989429489,0.1900081006577238,0.075,0.125,0.025,0.95,0.825,0.6408695998149389,B_response3s_strict_core,logreg_balanced_c1__fallback_rbf_conf_lt_0.65,0.5336666894389569,0.225,0.75,0.6789069643375906,0.006449858161014732,0.0,0.0,-0.03803736452265172
pre3_label3_response_coverage,session_level_split,train,logreg_balanced_c1__fallback_rbf_conf_lt_0.65,188,0.3393202632571291,0.925531914893617,0.07446808510638298,0.9361702127659575,0.30635852727325674,0.9726007191493091,0.03723404255319149,0.3212765926851871,0.22518616861247637,0.14622094917843026,0.06914893617021277,0.09574468085106383,0.10106382978723404,0.925531914893617,0.8936170212765957,0.4993462079469784,B_response3s_strict_core,logreg_balanced_c1__fallback_rbf_conf_lt_0.65,0.33011095985179567,0.05851063829787234,0.9148936170212766,0.520692098776021,0.009209303405333435,0.015957446808510634,0.021276595744680882,-0.021345890829042535
pre3_label3_response_coverage,session_level_split,val,logreg_balanced_c1__fallback_rbf_conf_lt_0.65,42,0.5902689745801819,0.9047619047619048,0.09523809523809523,0.5,0.5277767181396484,2.3163021818070795,0.21428571428571427,0.4922619029169991,0.46297618706843685,0.229049461938086,0.09523809523809523,0.14285714285714285,0.11904761904761904,0.9285714285714286,0.8809523809523809,0.9109325436974252,B_response3s_strict_core,logreg_balanced_c1__fallback_rbf_conf_lt_0.65,0.5714822247805078,0.11904761904761904,0.5,0.9109325436974252,0.018786749799674096,-0.023809523809523808,0.0,0.0
pre3_label3_response_coverage,session_level_split,test,logreg_balanced_c1__fallback_rbf_conf_lt_0.75,40,0.5558686766206292,0.775,0.225,0.75,0.45228532142937183,1.3371015570709759,0.125,0.4398749962449074,0.2834999984363094,0.19740283840801562,0.075,0.125,0.025,0.95,0.875,0.6408695998149389,B_response3s_strict_core,logreg_balanced_c1__fallback_rbf_conf_lt_0.75,0.5336666894389569,0.225,0.75,0.6789069643375906,0.022201987181672322,0.0,0.0,-0.03803736452265172
pre3_label3_response_coverage,session_level_split,train,logreg_balanced_c1__fallback_rbf_conf_lt_0.75,188,0.33370411271326367,0.925531914893617,0.07446808510638298,0.9361702127659575,0.31037056283589376,0.9595644131318708,0.026595744680851064,0.3123404208491457,0.20164893416965263,0.12269570889227593,0.03723404255319149,0.0797872340425532,0.07446808510638298,0.925531914893617,0.925531914893617,0.5099198024347339,B_response3s_strict_core,logreg_balanced_c1__fallback_rbf_conf_lt_0.75,0.33011095985179567,0.05851063829787234,0.9148936170212766,0.520692098776021,0.0035931528614679964,0.015957446808510634,0.021276595744680882,-0.010772296341287069
pre3_label3_response_coverage,session_level_split,val,logreg_balanced_c1__fallback_rbf_conf_lt_0.75,42,0.5970144266662482,0.8809523809523809,0.11904761904761904,0.5,0.5433757532210577,3.4897588861447653,0.21428571428571427,0.5167857117596126,0.46249999646984397,0.2190469012906154,0.07142857142857142,0.14285714285714285,0.09523809523809523,0.9285714285714286,0.9047619047619048,0.9109325436974252,B_response3s_strict_core,logreg_balanced_c1__fallback_rbf_conf_lt_0.75,0.5714822247805078,0.11904761904761904,0.5,0.9109325436974252,0.025532201885740347,0.0,0.0,0.0
pre3_label3_response_coverage,session_level_split,test,rf_depth3_balanced,40,0.5960288581125871,0.875,0.125,0.875,0.4568939723074436,1.4902122798136195,0.1,0.388749997317791,0.44124999970663337,0.33652918237494306,0.175,0.15,0.225,0.95,0.75,0.6454296979146938,B_response3s_strict_core,rf_depth3_balanced,0.5336666894389569,0.225,0.75,0.6789069643375906,0.0623621686736302,-0.1,0.125,-0.03347726642289672
