sample_id,event_uid,subject,session_stamp,split,road_design_module_name,event_level,road_design_risk_class,gt_peak_abs,is_large_response,is_difficult_peak_top20,keypoint_better_rmse,rmse_delta_keypoint_minus_rbf,candidate_model,selector_prob_keypoint,selected_threshold_from_val,selected_model
vehicle_instability_allraw__gzj__2025_09_27_11_53_25__000575025__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_11_53_25__000575025,gzj,2025_09_27_11_53_25,train,differentmu_road,extreme_active,design_high_risk_surface,0.3851950168609619,0,0,0,0.0462683141231536,logreg_original_balanced,0.12016581857022604,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__gzj__2025_09_27_12_04_23__000095835__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_12_04_23__000095835,gzj,2025_09_27_12_04_23,train,middle_section,strong_active,design_regular_road,1.7285699844360352,1,0,0,0.2236122488975525,logreg_original_balanced,0.30116717569338847,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__gzj__2025_09_27_12_04_23__000143790__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_12_04_23__000143790,gzj,2025_09_27_12_04_23,train,curve1,extreme_active,design_curve_context,1.877449989318848,1,1,0,0.3004215359687805,logreg_original_balanced,0.004740220396617981,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__gzj__2025_09_27_12_04_23__000173350__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_12_04_23__000173350,gzj,2025_09_27_12_04_23,train,middle_section,strong_active,design_regular_road,1.3058549165725708,0,0,1,-0.0137011706829071,logreg_original_balanced,0.5390956005557351,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__gzj__2025_09_27_12_04_23__000215140__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_12_04_23__000215140,gzj,2025_09_27_12_04_23,train,fix_road,strong_active,design_special_event_segment,0.7712610363960266,0,0,0,0.0803891569375992,logreg_original_balanced,0.4176439314359527,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__gzj__2025_09_27_12_04_23__000297385__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_12_04_23__000297385,gzj,2025_09_27_12_04_23,train,middle_section,weak,design_regular_road,0.6428040266036987,0,0,0,0.5082576572895051,logreg_original_balanced,0.6264467543925087,0.55,keypoint_residual_vehicle_transformer_no_subject
vehicle_instability_allraw__gzj__2025_09_27_12_28_14__000104490__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_12_28_14__000104490,gzj,2025_09_27_12_28_14,train,middle_section,extreme_active,design_regular_road,1.5514259338378906,0,0,0,0.3012660443782806,logreg_original_balanced,0.10367668033816568,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__gzj__2025_09_27_12_28_14__000184075__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_12_28_14__000184075,gzj,2025_09_27_12_28_14,train,middle_section,strong_active,design_regular_road,0.8056439161300659,0,0,0,0.06273153424263,logreg_original_balanced,0.6675398537965974,0.55,keypoint_residual_vehicle_transformer_no_subject
vehicle_instability_allraw__gzj__2025_09_27_12_28_14__000198480__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_12_28_14__000198480,gzj,2025_09_27_12_28_14,train,middle_section,extreme_active,design_regular_road,1.4226219654083252,0,0,0,0.1276445686817169,logreg_original_balanced,0.2729539803413629,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__gzj__2025_09_27_12_28_14__000308055__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_12_28_14__000308055,gzj,2025_09_27_12_28_14,train,middle_section,extreme_active,design_regular_road,1.182286024093628,0,0,1,-0.0736376941204071,logreg_original_balanced,0.7205593370731155,0.55,keypoint_residual_vehicle_transformer_no_subject
vehicle_instability_allraw__gzj__2025_09_27_12_28_14__000331425__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_12_28_14__000331425,gzj,2025_09_27_12_28_14,train,middle_section,medium_active,design_regular_road,0.7747515439987183,0,0,0,0.0400766730308532,logreg_original_balanced,0.6893643843603072,0.55,keypoint_residual_vehicle_transformer_no_subject
vehicle_instability_allraw__gzj__2025_09_27_12_28_14__000362825__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_12_28_14__000362825,gzj,2025_09_27_12_28_14,train,curve2,strong_active,design_curve_context,0.9089670181274414,0,0,0,0.2375895380973815,logreg_original_balanced,0.6979801816643789,0.55,keypoint_residual_vehicle_transformer_no_subject
vehicle_instability_allraw__hzh__2025_09_26_21_17_02__000110230__pre3_label3_response_coverage,vehicle_instability_allraw__hzh__2025_09_26_21_17_02__000110230,hzh,2025_09_26_21_17_02,train,middle_section,medium_active,design_regular_road,1.3772419691085815,0,0,0,0.2003712505102158,logreg_original_balanced,0.0777153822755177,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__hzh__2025_09_26_21_17_02__000422495__pre3_label3_response_coverage,vehicle_instability_allraw__hzh__2025_09_26_21_17_02__000422495,hzh,2025_09_26_21_17_02,train,middle_section,extreme_active,design_regular_road,1.5268155336380005,0,0,0,0.1898608207702637,logreg_original_balanced,0.16810143685058515,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__hzh__2025_09_27_19_22_27__000054775__pre3_label3_response_coverage,vehicle_instability_allraw__hzh__2025_09_27_19_22_27__000054775,hzh,2025_09_27_19_22_27,train,longstraight,extreme_active,design_regular_road,1.7856509685516355,1,1,0,0.2451431006193161,logreg_original_balanced,0.44752993572721333,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__hzh__2025_09_27_19_22_27__000193515__pre3_label3_response_coverage,vehicle_instability_allraw__hzh__2025_09_27_19_22_27__000193515,hzh,2025_09_27_19_22_27,train,middle_section,strong_active,design_regular_road,1.2948600053787231,0,0,0,0.1137617751955985,logreg_original_balanced,0.5324148700201742,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__hzh__2025_09_27_19_22_27__000331710__pre3_label3_response_coverage,vehicle_instability_allraw__hzh__2025_09_27_19_22_27__000331710,hzh,2025_09_27_19_22_27,train,curve2,strong_active,design_curve_context,1.6920976638793943,1,0,1,-0.0149851739406586,logreg_original_balanced,0.7050213911828107,0.55,keypoint_residual_vehicle_transformer_no_subject
vehicle_instability_allraw__hzh__2025_09_27_19_33_25__000059360__pre3_label3_response_coverage,vehicle_instability_allraw__hzh__2025_09_27_19_33_25__000059360,hzh,2025_09_27_19_33_25,train,middle_section,strong_active,design_regular_road,1.0082778930664062,0,0,0,0.1146994829177855,logreg_original_balanced,0.2070204218897191,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__hzh__2025_09_27_19_33_25__000164300__pre3_label3_response_coverage,vehicle_instability_allraw__hzh__2025_09_27_19_33_25__000164300,hzh,2025_09_27_19_33_25,train,middle_section,strong_active,design_regular_road,1.6500362157821655,1,0,0,0.0508898198604584,logreg_original_balanced,0.712518356722073,0.55,keypoint_residual_vehicle_transformer_no_subject
vehicle_instability_allraw__hzh__2025_09_27_19_33_25__000297885__pre3_label3_response_coverage,vehicle_instability_allraw__hzh__2025_09_27_19_33_25__000297885,hzh,2025_09_27_19_33_25,train,curve2,strong_active,design_curve_context,0.9880310297012328,0,0,0,0.081338346004486,logreg_original_balanced,0.8125683025988025,0.55,keypoint_residual_vehicle_transformer_no_subject
vehicle_instability_allraw__hzh__2025_09_27_19_33_25__000511405__pre3_label3_response_coverage,vehicle_instability_allraw__hzh__2025_09_27_19_33_25__000511405,hzh,2025_09_27_19_33_25,train,differentmu_road,strong_active,design_high_risk_surface,1.0478951930999756,0,0,0,0.1424248218536377,logreg_original_balanced,0.7217898541523099,0.55,keypoint_residual_vehicle_transformer_no_subject
vehicle_instability_allraw__jy__2025_09_26_17_17_11__000240445__pre3_label3_response_coverage,vehicle_instability_allraw__jy__2025_09_26_17_17_11__000240445,jy,2025_09_26_17_17_11,train,fix_road,extreme_active,design_special_event_segment,1.8395723104476929,1,1,1,-0.0606881976127624,logreg_original_balanced,0.5719635744015197,0.55,keypoint_residual_vehicle_transformer_no_subject
vehicle_instability_allraw__jy__2025_09_26_17_17_11__000414405__pre3_label3_response_coverage,vehicle_instability_allraw__jy__2025_09_26_17_17_11__000414405,jy,2025_09_26_17_17_11,train,middle_section,extreme_active,design_regular_road,2.3631784915924072,1,1,0,0.7624826431274414,logreg_original_balanced,0.21801334406513376,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__jy__2025_09_26_17_17_11__000547665__pre3_label3_response_coverage,vehicle_instability_allraw__jy__2025_09_26_17_17_11__000547665,jy,2025_09_26_17_17_11,train,differentmu_road,extreme_active,design_high_risk_surface,0.2883279919624328,0,0,0,0.1523493975400925,logreg_original_balanced,0.21332252703587223,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__jy__2025_09_26_17_29_44__000426110__pre3_label3_response_coverage,vehicle_instability_allraw__jy__2025_09_26_17_29_44__000426110,jy,2025_09_26_17_29_44,train,middle_section,extreme_active,design_regular_road,1.9676820039749143,1,1,0,0.1224139630794525,logreg_original_balanced,0.20849075681958826,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__jy__2025_09_26_17_29_44__000500270__pre3_label3_response_coverage,vehicle_instability_allraw__jy__2025_09_26_17_29_44__000500270,jy,2025_09_26_17_29_44,train,middle_section,medium_active,design_regular_road,1.6941959857940674,1,0,0,0.2338301837444305,logreg_original_balanced,0.21274353826351505,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__jy__2025_09_26_17_29_44__000535550__pre3_label3_response_coverage,vehicle_instability_allraw__jy__2025_09_26_17_29_44__000535550,jy,2025_09_26_17_29_44,train,differentmu_road,instability_strong,design_high_risk_surface,0.232304036617279,0,0,0,0.2755887508392334,logreg_original_balanced,0.05180081208122204,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__jy__2025_09_26_17_29_44__000540950__pre3_label3_response_coverage,vehicle_instability_allraw__jy__2025_09_26_17_29_44__000540950,jy,2025_09_26_17_29_44,train,differentmu_road,strong_active,design_high_risk_surface,0.9101839661598206,0,0,0,0.5158866383135319,logreg_original_balanced,0.49438912219921444,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__jy__2025_09_26_17_40_51__000069905__pre3_label3_response_coverage,vehicle_instability_allraw__jy__2025_09_26_17_40_51__000069905,jy,2025_09_26_17_40_51,train,middle_section,strong_active,design_regular_road,1.167451024055481,0,0,0,0.1841094046831131,logreg_original_balanced,0.3115221349122805,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__jy__2025_09_26_17_40_51__000228515__pre3_label3_response_coverage,vehicle_instability_allraw__jy__2025_09_26_17_40_51__000228515,jy,2025_09_26_17_40_51,train,fix_road,extreme_active,design_special_event_segment,2.8728153705596924,1,1,0,0.2757021784782409,logreg_original_balanced,0.2722762194066326,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__jy__2025_09_26_17_40_51__000445490__pre3_label3_response_coverage,vehicle_instability_allraw__jy__2025_09_26_17_40_51__000445490,jy,2025_09_26_17_40_51,train,differentmu_road,strong_active,design_high_risk_surface,0.1183339953422546,0,0,0,0.0529491603374481,logreg_original_balanced,0.4893224910922415,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__jy__2025_09_26_17_40_51__000526105__pre3_label3_response_coverage,vehicle_instability_allraw__jy__2025_09_26_17_40_51__000526105,jy,2025_09_26_17_40_51,train,differentmu_road,extreme_active,design_high_risk_surface,0.9201330542564392,0,0,0,0.1356513202190399,logreg_original_balanced,0.10204786188106811,0.55,rbf_kernel_ridge_context_no_subject
