sample_id,event_uid,subject,session_stamp,split,gt_peak_abs,is_large_response,is_difficult_peak_top20,rbf_sample_rmse,selected_sample_rmse,gain_over_rbf,selected_better_than_rbf
vehicle_instability_allraw__yzy__2025_09_27_15_07_57__000447025__pre3_label3_response_coverage,vehicle_instability_allraw__yzy__2025_09_27_15_07_57__000447025,yzy,2025_09_27_15_07_57,train,0.5797989964485168,0,0,0.1623201668262481,0.1299799680709839,0.03234019875526423,True
vehicle_instability_allraw__cwh__2025_09_26_19_45_40__000341005__pre3_label3_response_coverage,vehicle_instability_allraw__cwh__2025_09_26_19_45_40__000341005,cwh,2025_09_26_19_45_40,train,1.523326754570007,0,0,0.3621475994586944,0.3307669758796692,0.03138062357902521,True
vehicle_instability_allraw__byx__2025_09_28_17_35_43__000329825__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_35_43__000329825,byx,2025_09_28_17_35_43,train,0.241902694106102,0,0,0.1167935952544212,0.0856820344924926,0.0311115607619286,True
vehicle_instability_allraw__jy__2025_09_26_17_29_44__000426110__pre3_label3_response_coverage,vehicle_instability_allraw__jy__2025_09_26_17_29_44__000426110,jy,2025_09_26_17_29_44,train,1.9676820039749143,1,1,0.4173553884029388,0.3863706290721893,0.03098475933074951,True
vehicle_instability_allraw__gf__2025_09_26_10_40_59__000180655__pre3_label3_response_coverage,vehicle_instability_allraw__gf__2025_09_26_10_40_59__000180655,gf,2025_09_26_10_40_59,train,2.2230300903320312,1,1,0.4520740807056427,0.4212073981761932,0.03086668252944952,True
vehicle_instability_allraw__hzh__2025_09_27_19_33_25__000164300__pre3_label3_response_coverage,vehicle_instability_allraw__hzh__2025_09_27_19_33_25__000164300,hzh,2025_09_27_19_33_25,train,1.6500362157821655,1,0,0.4882421195507049,0.4574121832847595,0.03082993626594538,True
vehicle_instability_allraw__hzh__2025_09_26_21_17_02__000422495__pre3_label3_response_coverage,vehicle_instability_allraw__hzh__2025_09_26_21_17_02__000422495,hzh,2025_09_26_21_17_02,train,1.5268155336380005,0,0,0.24772509932518,0.218429610133171,0.029295489192009,True
vehicle_instability_allraw__lxy__2025_09_28_18_06_16__000133655__pre3_label3_response_coverage,vehicle_instability_allraw__lxy__2025_09_28_18_06_16__000133655,lxy,2025_09_28_18_06_16,train,1.2969540357589722,0,0,0.1814527660608291,0.152343288064003,0.029109477996826116,True
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000349300__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_05_51__000349300,byx,2025_09_28_17_05_51,train,1.3292438983917236,0,0,0.2333856970071792,0.2052894532680511,0.028096243739128113,True
vehicle_instability_allraw__zx__2025_09_27_17_14_07__000103335__pre3_label3_response_coverage,vehicle_instability_allraw__zx__2025_09_27_17_14_07__000103335,zx,2025_09_27_17_14_07,train,1.7589459419250488,1,1,0.4453549385070801,0.4185281693935394,0.026826769113540705,True
vehicle_instability_allraw__hzh__2025_09_27_19_22_27__000054775__pre3_label3_response_coverage,vehicle_instability_allraw__hzh__2025_09_27_19_22_27__000054775,hzh,2025_09_27_19_22_27,train,1.7856509685516355,1,1,0.2498362809419632,0.2231767028570175,0.026659578084945706,True
vehicle_instability_allraw__zdq__2025_09_26_15_37_30__000202020__pre3_label3_response_coverage,vehicle_instability_allraw__zdq__2025_09_26_15_37_30__000202020,zdq,2025_09_26_15_37_30,train,0.9688320159912108,0,0,0.284140795469284,0.2576684653759002,0.02647233009338379,True
vehicle_instability_allraw__yzy__2025_09_27_14_13_03__000455460__pre3_label3_response_coverage,vehicle_instability_allraw__yzy__2025_09_27_14_13_03__000455460,yzy,2025_09_27_14_13_03,train,1.5606759786605835,0,0,0.2063521891832351,0.1800699084997177,0.0262822806835174,True
vehicle_instability_allraw__yzy__2025_09_27_14_13_03__000216065__pre3_label3_response_coverage,vehicle_instability_allraw__yzy__2025_09_27_14_13_03__000216065,yzy,2025_09_27_14_13_03,train,1.981476664543152,1,1,0.4343881011009216,0.408358097076416,0.02603000402450556,True
vehicle_instability_allraw__lxy__2025_09_28_18_19_35__000290870__pre3_label3_response_coverage,vehicle_instability_allraw__lxy__2025_09_28_18_19_35__000290870,lxy,2025_09_28_18_19_35,train,1.879023551940918,1,1,0.6812103986740112,0.6553791761398315,0.025831222534179688,True
vehicle_instability_allraw__gzj__2025_09_27_11_41_47__000211485__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_11_41_47__000211485,gzj,2025_09_27_11_41_47,train,1.0971187353134155,0,0,0.2552616894245147,0.2295751124620437,0.02568657696247101,True
vehicle_instability_allraw__tyy__2025_09_28_14_23_43__000685655__pre3_label3_response_coverage,vehicle_instability_allraw__tyy__2025_09_28_14_23_43__000685655,tyy,2025_09_28_14_23_43,train,1.7901862859725952,1,1,0.2845663428306579,0.2611435651779175,0.023422777652740423,True
vehicle_instability_allraw__txj__2025_09_27_09_06_19__000604150__pre3_label3_response_coverage,vehicle_instability_allraw__txj__2025_09_27_09_06_19__000604150,txj,2025_09_27_09_06_19,train,0.3764675855636596,0,0,0.1993801891803741,0.1760312765836715,0.023348912596702603,True
vehicle_instability_allraw__lxy__2025_09_28_18_19_35__000334720__pre3_label3_response_coverage,vehicle_instability_allraw__lxy__2025_09_28_18_19_35__000334720,lxy,2025_09_28_18_19_35,train,0.2790780067443847,0,0,0.0904351621866226,0.068212978541851,0.022222183644771604,True
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000187815__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_05_51__000187815,byx,2025_09_28_17_05_51,train,0.9477140307426452,0,0,0.2836828827857971,0.2621076107025146,0.021575272083282526,True
vehicle_instability_allraw__zx__2025_09_27_18_17_48__000253945__pre3_label3_response_coverage,vehicle_instability_allraw__zx__2025_09_27_18_17_48__000253945,zx,2025_09_27_18_17_48,train,1.214576005935669,0,0,0.3210605978965759,0.2995896935462951,0.021470904350280817,True
vehicle_instability_allraw__yyl__2025_09_28_09_14_23__000568235__pre3_label3_response_coverage,vehicle_instability_allraw__yyl__2025_09_28_09_14_23__000568235,yyl,2025_09_28_09_14_23,train,1.8633136749267576,1,1,0.5093050003051758,0.4878838062286377,0.021421194076538086,True
vehicle_instability_allraw__gzj__2025_09_27_12_04_23__000297385__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_12_04_23__000297385,gzj,2025_09_27_12_04_23,train,0.6428040266036987,0,0,0.1573745906352996,0.1368679255247116,0.02050666511058799,True
vehicle_instability_allraw__yyl__2025_09_28_09_39_01__000375965__pre3_label3_response_coverage,vehicle_instability_allraw__yyl__2025_09_28_09_39_01__000375965,yyl,2025_09_28_09_39_01,train,1.5273334980010986,0,0,0.4430685341358185,0.4236475527286529,0.019420981407165583,True
vehicle_instability_allraw__lxy__2025_09_28_18_06_16__000057770__pre3_label3_response_coverage,vehicle_instability_allraw__lxy__2025_09_28_18_06_16__000057770,lxy,2025_09_28_18_06_16,train,1.0580191612243652,0,0,0.2414779067039489,0.2223474830389022,0.019130423665046692,True
vehicle_instability_allraw__cwh__2025_09_26_19_45_40__000165100__pre3_label3_response_coverage,vehicle_instability_allraw__cwh__2025_09_26_19_45_40__000165100,cwh,2025_09_26_19_45_40,train,0.6585130095481873,0,0,0.1510205864906311,0.1322760432958603,0.018744543194770813,True
vehicle_instability_allraw__cwh__2025_09_26_20_06_19__000204045__pre3_label3_response_coverage,vehicle_instability_allraw__cwh__2025_09_26_20_06_19__000204045,cwh,2025_09_26_20_06_19,train,1.6385160684585571,1,0,0.3437470197677612,0.325080931186676,0.01866608858108515,True
vehicle_instability_allraw__txj__2025_09_27_09_17_11__000498455__pre3_label3_response_coverage,vehicle_instability_allraw__txj__2025_09_27_09_17_11__000498455,txj,2025_09_27_09_17_11,train,0.4792675077915191,0,0,0.1159185171127319,0.0973680466413497,0.01855047047138221,True
vehicle_instability_allraw__lxy__2025_09_28_17_55_52__000541050__pre3_label3_response_coverage,vehicle_instability_allraw__lxy__2025_09_28_17_55_52__000541050,lxy,2025_09_28_17_55_52,train,0.7265809774398804,0,0,0.1487936079502105,0.1302693039178848,0.01852430403232569,True
vehicle_instability_allraw__zx__2025_09_27_17_29_08__000199530__pre3_label3_response_coverage,vehicle_instability_allraw__zx__2025_09_27_17_29_08__000199530,zx,2025_09_27_17_29_08,train,0.3534294962882995,0,0,0.1548854708671569,0.1371132880449295,0.017772182822227395,True
vehicle_instability_allraw__hzh__2025_09_27_19_22_27__000331710__pre3_label3_response_coverage,vehicle_instability_allraw__hzh__2025_09_27_19_22_27__000331710,hzh,2025_09_27_19_22_27,train,1.6920976638793943,1,0,0.289081871509552,0.2718005776405334,0.01728129386901861,True
vehicle_instability_allraw__yyl__2025_09_28_09_29_01__000449070__pre3_label3_response_coverage,vehicle_instability_allraw__yyl__2025_09_28_09_29_01__000449070,yyl,2025_09_28_09_29_01,train,1.127134084701538,0,0,0.1709643900394439,0.1548168361186981,0.016147553920745794,True
vehicle_instability_allraw__yzy__2025_09_27_15_07_57__000328880__pre3_label3_response_coverage,vehicle_instability_allraw__yzy__2025_09_27_15_07_57__000328880,yzy,2025_09_27_15_07_57,train,0.9054773449897766,0,0,0.4935397207736969,0.4780800640583038,0.015459656715393122,True
vehicle_instability_allraw__txj__2025_09_27_09_06_19__000084165__pre3_label3_response_coverage,vehicle_instability_allraw__txj__2025_09_27_09_06_19__000084165,txj,2025_09_27_09_06_19,train,0.191287875175476,0,0,0.2079863846302032,0.1928622722625732,0.015124112367630005,True
vehicle_instability_allraw__zt__2025_09_28_11_20_08__000270535__pre3_label3_response_coverage,vehicle_instability_allraw__zt__2025_09_28_11_20_08__000270535,zt,2025_09_28_11_20_08,train,1.5015029907226562,0,0,0.2543138563632965,0.2400189638137817,0.014294892549514798,True
