subject,session_stamp,vehicle_file,status,error,row_count,duration_s,sampling_rate_median_hz,episode_count,available_columns
jy,2025_09_26_18_01_40,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\jy\Entity_Recording_2025_09_26_18_01_40_vehicle.csv,ok,,209075,522.685,200.0000000001819,25,time:StorageTime|steer:zx|SteeringWheel|ay:zx|ay|yaw_rate:zx|vyaw|roll_rate:zx|vroll|roll:zx|roll|lat_offset:zx1|lateraldistance|brake:zx|BrakePedal|accel_pedal:zx|AcceleratorPedal|ax:zx|ax|speed_kmh:zx1|v_km/h|vx:zx|vx|mu:zx1|mu|curvature:zx1|lanecurvatureXY|x:zx|x|y:zx|y
lx,2025_09_26_08_58_43,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\lx\Entity_Recording_2025_09_26_08_58_43_vehicle.csv,ok,,109219,273.046,400.0000000003638,7,time:StorageTime|steer:zx|SteeringWheel|ay:zx|ay|yaw_rate:zx|vyaw|roll_rate:zx|vroll|roll:zx|roll|lat_offset:zx1|lateraldistance|brake:zx|BrakePedal|accel_pedal:zx|AcceleratorPedal|ax:zx|ax|speed_kmh:zx1|v_km/h|vx:zx|vx|mu:zx1|mu|curvature:zx1|lanecurvatureXY|x:zx|x|y:zx|y
lx,2025_09_26_09_06_38,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\lx\Entity_Recording_2025_09_26_09_06_38_vehicle.csv,ok,,76610,383.045,200.0000000001819,13,time:StorageTime|steer:zx|SteeringWheel|ay:zx|ay|yaw_rate:zx|vyaw|roll_rate:zx|vroll|roll:zx|roll|lat_offset:zx1|lateraldistance|brake:zx|BrakePedal|accel_pedal:zx|AcceleratorPedal|ax:zx|ax|speed_kmh:zx1|v_km/h|vx:zx|vx|mu:zx1|mu|curvature:zx1|lanecurvatureXY|x:zx|x|y:zx|y
lx,2025_09_26_09_17_22,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\lx\Entity_Recording_2025_09_26_09_17_22_vehicle.csv,ok,,247796,619.49,200.0000000001819,17,time:StorageTime|steer:zx|SteeringWheel|ay:zx|ay|yaw_rate:zx|vyaw|roll_rate:zx|vroll|roll:zx|roll|lat_offset:zx1|lateraldistance|brake:zx|BrakePedal|accel_pedal:zx|AcceleratorPedal|ax:zx|ax|speed_kmh:zx1|v_km/h|vx:zx|vx|mu:zx1|mu|curvature:zx1|lanecurvatureXY|x:zx|x|y:zx|y
lxy,2025_09_28_17_55_52,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\lxy\Entity_Recording_2025_09_28_17_55_52_vehicle.csv,ok,,237282,593.205,250.00000000591172,24,time:StorageTime|steer:zx|SteeringWheel|ay:zx|ay|yaw_rate:zx|vyaw|roll_rate:zx|vroll|roll:zx|roll|lat_offset:zx1|lateraldistance|brake:zx|BrakePedal|accel_pedal:zx|AcceleratorPedal|ax:zx|ax|speed_kmh:zx1|v_km/h|vx:zx|vx|mu:zx1|mu|curvature:zx1|lanecurvatureXY|x:zx|x|y:zx|y
lxy,2025_09_28_18_06_16,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\lxy\Entity_Recording_2025_09_28_18_06_16_vehicle.csv,ok,,231885,579.715,200.0000000001819,30,time:StorageTime|steer:zx|SteeringWheel|ay:zx|ay|yaw_rate:zx|vyaw|roll_rate:zx|vroll|roll:zx|roll|lat_offset:zx1|lateraldistance|brake:zx|BrakePedal|accel_pedal:zx|AcceleratorPedal|ax:zx|ax|speed_kmh:zx1|v_km/h|vx:zx|vx|mu:zx1|mu|curvature:zx1|lanecurvatureXY|x:zx|x|y:zx|y
lxy,2025_09_28_18_16_26,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\lxy\Entity_Recording_2025_09_28_18_16_26_vehicle.csv,ok,,5661,14.15,200.00000000000426,1,time:StorageTime|steer:zx|SteeringWheel|ay:zx|ay|yaw_rate:zx|vyaw|roll_rate:zx|vroll|roll:zx|roll|lat_offset:zx1|lateraldistance|brake:zx|BrakePedal|accel_pedal:zx|AcceleratorPedal|ax:zx|ax|speed_kmh:zx1|v_km/h|vx:zx|vx|mu:zx1|mu|curvature:zx1|lanecurvatureXY|x:zx|x|y:zx|y
lxy,2025_09_28_18_19_35,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\lxy\Entity_Recording_2025_09_28_18_19_35_vehicle.csv,ok,,217613,544.031,400.0000000003638,28,time:StorageTime|steer:zx|SteeringWheel|ay:zx|ay|yaw_rate:zx|vyaw|roll_rate:zx|vroll|roll:zx|roll|lat_offset:zx1|lateraldistance|brake:zx|BrakePedal|accel_pedal:zx|AcceleratorPedal|ax:zx|ax|speed_kmh:zx1|v_km/h|vx:zx|vx|mu:zx1|mu|curvature:zx1|lanecurvatureXY|x:zx|x|y:zx|y
rjy,2025_09_28_19_33_26,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\rjy\Entity_Recording_2025_09_28_19_33_26_vehicle.csv,ok,,258759,646.902,333.3333333412156,22,time:StorageTime|steer:zx|SteeringWheel|ay:zx|ay|yaw_rate:zx|vyaw|roll_rate:zx|vroll|roll:zx|roll|lat_offset:zx1|lateraldistance|brake:zx|BrakePedal|accel_pedal:zx|AcceleratorPedal|ax:zx|ax|speed_kmh:zx1|v_km/h|vx:zx|vx|mu:zx1|mu|curvature:zx1|lanecurvatureXY|x:zx|x|y:zx|y
rjy,2025_09_28_19_44_42,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\rjy\Entity_Recording_2025_09_28_19_44_42_vehicle.csv,ok,,59036,147.59,333.3333333348997,3,time:StorageTime|steer:zx|SteeringWheel|ay:zx|ay|yaw_rate:zx|vyaw|roll_rate:zx|vroll|roll:zx|roll|lat_offset:zx1|lateraldistance|brake:zx|BrakePedal|accel_pedal:zx|AcceleratorPedal|ax:zx|ax|speed_kmh:zx1|v_km/h|vx:zx|vx|mu:zx1|mu|curvature:zx1|lanecurvatureXY|x:zx|x|y:zx|y
rjy,2025_09_28_19_49_06,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\rjy\Entity_Recording_2025_09_28_19_49_06_vehicle.csv,ok,,24288,60.72,333.3333333337155,2,time:StorageTime|steer:zx|SteeringWheel|ay:zx|ay|yaw_rate:zx|vyaw|roll_rate:zx|vroll|roll:zx|roll|lat_offset:zx1|lateraldistance|brake:zx|BrakePedal|accel_pedal:zx|AcceleratorPedal|ax:zx|ax|speed_kmh:zx1|v_km/h|vx:zx|vx|mu:zx1|mu|curvature:zx1|lanecurvatureXY|x:zx|x|y:zx|y
rjy,2025_09_28_19_51_44,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\rjy\Entity_Recording_2025_09_28_19_51_44_vehicle.csv,ok,,233522,583.805,200.0000000001819,20,time:StorageTime|steer:zx|SteeringWheel|ay:zx|ay|yaw_rate:zx|vyaw|roll_rate:zx|vroll|roll:zx|roll|lat_offset:zx1|lateraldistance|brake:zx|BrakePedal|accel_pedal:zx|AcceleratorPedal|ax:zx|ax|speed_kmh:zx1|v_km/h|vx:zx|vx|mu:zx1|mu|curvature:zx1|lanecurvatureXY|x:zx|x|y:zx|y
