sample_id,event_uid,subject,session_stamp,split,gt_peak_abs,is_large_response,is_difficult_peak_top20,rmse_delta_keypoint_minus_rbf,keypoint_better_rmse,selector_prob_keypoint,selector_threshold,selected_model,oracle_best_model,rmse_rbf,rmse_keypoint,rmse_best_of_two,rmse_oracle_gain_over_rbf,selector_used_keypoint,oracle_used_keypoint,rmse__keypoint_residual_vehicle_transformer_no_subject,rmse__oracle_best_of_rbf_keypoint_upper_bound,rmse__rbf_kernel_ridge_context_no_subject,rmse__selector_logreg_rbf_keypoint_no_subject,selector_correct_choice,selector_regret,oracle_gain_over_selector,oracle_gain_over_rbf
vehicle_instability_allraw__gzj__2025_09_27_11_41_47__000260065__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_11_41_47__000260065,gzj,2025_09_27_11_41_47,train,0.8555600047111511,0,0,-0.0082724094390869,1,0.9295416186092552,0.55,keypoint_residual_vehicle_transformer_no_subject,keypoint_residual_vehicle_transformer_no_subject,0.27533203,0.26706594,0.26706594,0.008266091,1,1,0.26706594228744507,0.26706594228744507,0.2753320336341858,0.26706594228744507,1,0.0,0.0,0.008266091346740723
vehicle_instability_allraw__gzj__2025_09_27_11_41_47__000413415__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_11_41_47__000413415,gzj,2025_09_27_11_41_47,train,2.721312999725342,1,1,0.8612143993377686,0,0.3288626201837822,0.55,rbf_kernel_ridge_context_no_subject,rbf_kernel_ridge_context_no_subject,0.2730564,1.1342709,0.2730564,0.0,0,0,1.1342709064483643,0.27305638790130615,0.27305638790130615,0.27305638790130615,1,0.0,0.0,0.0
vehicle_instability_allraw__gzj__2025_09_27_11_41_47__000431340__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_11_41_47__000431340,gzj,2025_09_27_11_41_47,train,0.2635442018508911,0,0,0.1029033809900284,0,0.3931694175325659,0.55,rbf_kernel_ridge_context_no_subject,rbf_kernel_ridge_context_no_subject,0.10154416,0.20444345,0.10154416,0.0,0,0,0.20444345474243164,0.10154415667057037,0.10154415667057037,0.10154415667057037,1,0.0,0.0,0.0
vehicle_instability_allraw__gzj__2025_09_27_11_53_25__000229945__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_11_53_25__000229945,gzj,2025_09_27_11_53_25,train,0.8979719877243042,0,0,0.0244432389736176,0,0.5212455175718956,0.55,rbf_kernel_ridge_context_no_subject,rbf_kernel_ridge_context_no_subject,0.47415152,0.49860534,0.47415152,0.0,0,0,0.498605340719223,0.47415152192115784,0.47415152192115784,0.47415152192115784,1,0.0,0.0,0.0
vehicle_instability_allraw__gzj__2025_09_27_11_53_25__000283210__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_11_53_25__000283210,gzj,2025_09_27_11_53_25,train,0.3433059155941009,0,0,-0.0703737288713454,1,0.845703924837638,0.55,keypoint_residual_vehicle_transformer_no_subject,keypoint_residual_vehicle_transformer_no_subject,0.22463864,0.1542684,0.1542684,0.07037024,1,1,0.15426841378211975,0.15426841378211975,0.22463864088058472,0.15426841378211975,1,0.0,0.0,0.07037022709846497
vehicle_instability_allraw__gzj__2025_09_27_11_53_25__000308920__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_11_53_25__000308920,gzj,2025_09_27_11_53_25,train,0.4164358973503113,0,0,0.1754530668258667,0,0.6517414937805066,0.55,keypoint_residual_vehicle_transformer_no_subject,rbf_kernel_ridge_context_no_subject,0.1302984,0.3057516,0.1302984,0.0,1,0,0.30575159192085266,0.1302984058856964,0.1302984058856964,0.30575159192085266,0,0.17545318603515625,0.17545318603515625,0.0
vehicle_instability_allraw__gzj__2025_09_27_11_53_25__000575025__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_11_53_25__000575025,gzj,2025_09_27_11_53_25,train,0.3851950168609619,0,0,0.0462683141231536,0,0.1201658185620352,0.55,rbf_kernel_ridge_context_no_subject,rbf_kernel_ridge_context_no_subject,0.44263792,0.48889148,0.44263792,0.0,0,0,0.48889148235321045,0.44263792037963867,0.44263792037963867,0.44263792037963867,1,0.0,0.0,0.0
vehicle_instability_allraw__gzj__2025_09_27_12_04_23__000095835__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_12_04_23__000095835,gzj,2025_09_27_12_04_23,train,1.7285699844360352,1,0,0.2236122488975525,0,0.3011671756648083,0.55,rbf_kernel_ridge_context_no_subject,rbf_kernel_ridge_context_no_subject,0.3590277,0.5826301,0.3590277,0.0,0,0,0.5826300978660583,0.3590276837348938,0.3590276837348938,0.3590276837348938,1,0.0,0.0,0.0
vehicle_instability_allraw__gzj__2025_09_27_12_04_23__000143790__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_12_04_23__000143790,gzj,2025_09_27_12_04_23,train,1.877449989318848,1,1,0.3004215359687805,0,0.004740220395529,0.55,rbf_kernel_ridge_context_no_subject,rbf_kernel_ridge_context_no_subject,0.5710827,0.8714915,0.5710827,0.0,0,0,0.8714914917945862,0.5710827112197876,0.5710827112197876,0.5710827112197876,1,0.0,0.0,0.0
vehicle_instability_allraw__gzj__2025_09_27_12_04_23__000173350__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_12_04_23__000173350,gzj,2025_09_27_12_04_23,train,1.3058549165725708,0,0,-0.0137011706829071,1,0.5390956005259263,0.55,rbf_kernel_ridge_context_no_subject,keypoint_residual_vehicle_transformer_no_subject,0.40255773,0.38885358,0.38885358,0.013704151,0,1,0.3888535797595978,0.3888535797595978,0.40255773067474365,0.40255773067474365,0,0.013704150915145874,0.013704150915145874,0.013704150915145874
