seed,fold,model,subject_alias,recording_alias,time_block_id,windows,action_nmae
20260902,1,hold,S002,R017,R017-B0010,50,0.5644823312759399
20260902,1,hold,S002,R017,R017-B0011,50,0.13910357654094696
20260902,1,hold,S002,R017,R017-B0012,50,1.1799663305282593
20260902,1,hold,S002,R017,R017-B0013,50,0.9578369855880737
20260902,1,hold,S002,R017,R017-B0014,50,0.8124333024024963
20260902,1,hold,S002,R017,R017-B0015,50,1.0586189031600952
20260902,1,hold,S002,R017,R017-B0016,50,0.7218431830406189
20260902,1,hold,S002,R017,R017-B0017,50,0.4499770998954773
20260902,1,hold,S002,R017,R017-B0018,50,1.5497512817382812
20260902,1,hold,S002,R017,R017-B0019,50,1.4146686792373657
20260902,1,hold,S002,R017,R017-B0020,50,1.6494075059890747
20260902,1,hold,S002,R017,R017-B0021,50,0.37533313035964966
20260902,1,hold,S002,R017,R017-B0022,50,0.8048148155212402
20260902,1,hold,S002,R017,R017-B0023,50,0.4684528410434723
20260902,1,hold,S002,R017,R017-B0024,50,0.7537847757339478
20260902,1,hold,S002,R017,R017-B0025,50,1.111878514289856
20260902,1,hold,S002,R017,R017-B0026,50,1.232553482055664
20260902,1,hold,S002,R017,R017-B0027,50,0.9377781748771667
20260902,1,hold,S002,R017,R017-B0028,50,0.7722399830818176
20260902,1,hold,S002,R017,R017-B0029,50,0.7759013175964355
20260902,1,hold,S002,R017,R017-B0030,50,0.8154220581054688
20260902,1,hold,S002,R017,R017-B0031,50,1.5474762916564941
