seed,fold,population,model,subject_alias,channel,windows,mae,rmse,endpoint_mae
20260903,2,ordinary,linear,S022,action_macro,172,0.918154239654541,1.5944459438323975,1.4908477067947388
20260903,2,ordinary,linear,S024,steer_deg,935,3.070142984390259,6.1993021965026855,5.735340118408203
20260903,2,ordinary,linear,S024,brake,935,0.03881057724356651,0.06420587748289108,0.049236904829740524
20260903,2,ordinary,linear,S024,accelerator,935,0.03873230889439583,0.10353094339370728,0.07286003232002258
20260903,2,ordinary,linear,S024,speed_kmh,935,0.17331966757774353,0.7216383218765259,0.4674105644226074
20260903,2,ordinary,linear,S024,action_macro,935,0.7216288447380066,1.5783615112304688,1.1963356733322144
20260903,2,ordinary,linear,S028,steer_deg,827,2.9733452796936035,5.9458327293396,5.764472484588623
20260903,2,ordinary,linear,S028,brake,827,0.025941811501979828,0.03311021998524666,0.03003567084670067
20260903,2,ordinary,linear,S028,accelerator,827,0.024472836405038834,0.05125770345330238,0.03893959894776344
20260903,2,ordinary,linear,S028,speed_kmh,827,0.19942428171634674,0.5471317768096924,0.4668475091457367
20260903,2,ordinary,linear,S028,action_macro,827,0.5343207120895386,0.9837974905967712,0.8441333770751953
20260903,2,ordinary,linear,S031,steer_deg,1819,5.717260360717773,12.062995910644531,11.021764755249023
20260903,2,ordinary,linear,S031,brake,1819,0.03351978212594986,0.049055229872465134,0.04228198528289795
20260903,2,ordinary,linear,S031,accelerator,1819,0.03880021348595619,0.08335933834314346,0.062232606112957
20260903,2,ordinary,linear,S031,speed_kmh,1819,0.21467581391334534,0.643964409828186,0.5273025035858154
20260903,2,ordinary,linear,S031,action_macro,1819,0.8632841110229492,1.785377025604248,1.4315483570098877
20260903,2,ordinary,linear,S033,steer_deg,2218,4.772505760192871,9.143224716186523,8.79528522491455
20260903,2,ordinary,linear,S033,brake,2218,0.032214585691690445,0.046785060316324234,0.039698291569948196
20260903,2,ordinary,linear,S033,accelerator,2218,0.029527798295021057,0.06266605108976364,0.047257013618946075
20260903,2,ordinary,linear,S033,speed_kmh,2218,0.17661511898040771,0.6272276043891907,0.42731407284736633
20260903,2,ordinary,linear,S033,action_macro,2218,0.7297829389572144,1.3892794847488403,1.1660544872283936
20260903,2,ordinary,linear,S036,steer_deg,571,4.826415538787842,9.156942367553711,8.53179931640625
20260903,2,ordinary,linear,S036,brake,571,0.03512352332472801,0.05540178343653679,0.043118804693222046
20260903,2,ordinary,linear,S036,accelerator,571,0.05914340913295746,0.1336412876844406,0.10800556093454361
20260903,2,ordinary,linear,S036,speed_kmh,571,0.2116086333990097,0.7347695231437683,0.5533495545387268
20260903,2,ordinary,linear,S036,action_macro,571,0.9502073526382446,1.9770115613937378,1.5762823820114136
20260903,2,ordinary,linear,S039,steer_deg,2878,5.897176265716553,11.857139587402344,10.289055824279785
20260903,2,ordinary,linear,S039,brake,2878,0.03208028897643089,0.051224179565906525,0.03690096363425255
20260903,2,ordinary,linear,S039,accelerator,2878,0.023969268426299095,0.07465649396181107,0.03919995203614235
