window_config_id,split_strategy,split,model_name,n_samples,rmse_steer,peak_direction_accuracy,wrong_side_rate,large_response_recall,peak_amp_mae,peak_amp_ratio_pred_over_gt_mean,severe_amp_under_rate,peak_time_mae_s,onset_delay_mae_s,tail_abs_error_mean,tail_drift_risk_rate,zero_crossing_mismatch_rate,reversal_count_exact_match_rate,multi_segment_gt_rate,multi_segment_pred_rate,difficult_top20_rmse,track_id,rbf_ref_rmse,rbf_ref_wrong_side,rbf_ref_large_recall,rbf_ref_difficult_rmse,rmse_delta_vs_rbf,wrong_side_delta_vs_rbf,large_recall_delta_vs_rbf,difficult_rmse_delta_vs_rbf
pre3_label3_response_coverage,session_level_split,train,keypoint_residual_vehicle_transformer_no_subject,188,0.5636981435585351,0.8617021276595744,0.13829787234042554,0.723404255319149,0.5106482595165677,1.3241325576083638,0.19680851063829788,0.5098404274817477,0.7170478696835801,0.17718453341838036,0.09574468085106383,0.48404255319148937,0.0425531914893617,0.925531914893617,0.0,0.9067564105933167,B_response3s_strict_core,0.33011095985179567,0.05851063829787234,0.9148936170212766,0.520692098776021,0.23358718370673942,0.0797872340425532,-0.1914893617021276,0.3860643118172957
pre3_label3_response_coverage,session_level_split,train,proto_amplitude,188,0.7720612702478232,0.601063829787234,0.39893617021276595,0.0,1.0007193836363706,0.28420824590203375,0.9308510638297872,0.5389627540840748,2.1039893590310155,0.1624954569653826,0.06382978723404255,0.39361702127659576,0.015957446808510637,0.925531914893617,0.6329787234042553,1.2169025749889995,B_response3s_strict_core,0.33011095985179567,0.05851063829787234,0.9148936170212766,0.520692098776021,0.44195031039602756,0.3404255319148936,-0.9148936170212766,0.6962104762129785
pre3_label3_response_coverage,session_level_split,train,proto_combo_full,188,0.4901771383806529,0.9468085106382979,0.05319148936170213,0.9361702127659575,0.30150589358774904,1.4286511361169236,0.0797872340425532,0.32220744634879395,0.418510640357086,0.16412621495522003,0.06914893617021277,0.0851063829787234,0.07446808510638298,0.925531914893617,1.0,0.7703002917266198,B_response3s_strict_core,0.33011095985179567,0.05851063829787234,0.9148936170212766,0.520692098776021,0.16006617852885724,-0.0053191489361702135,0.021276595744680882,0.24960819295059888
pre3_label3_response_coverage,session_level_split,train,proto_correction,188,0.7774368192751027,0.5851063829787234,0.4148936170212766,0.0,1.0569704417931907,0.5328449322253009,0.8563829787234043,1.0484042598053496,1.987765957264507,0.16689744361854614,0.06382978723404255,0.06914893617021277,0.026595744680851064,0.925531914893617,0.9414893617021277,1.234279476228163,B_response3s_strict_core,0.33011095985179567,0.05851063829787234,0.9148936170212766,0.520692098776021,0.447325859423307,0.35638297872340424,-0.9148936170212766,0.7135873774521421
pre3_label3_response_coverage,session_level_split,train,proto_direction_amp,188,0.49133314411964013,0.9468085106382979,0.05319148936170213,0.8936170212765957,0.37297213026025194,1.379409736130512,0.15425531914893617,0.3837500055261115,0.4318617031453772,0.16086281659676038,0.06382978723404255,0.0851063829787234,0.05319148936170213,0.925531914893617,1.0,0.78298446781139,B_response3s_strict_core,0.33011095985179567,0.05851063829787234,0.9148936170212766,0.520692098776021,0.16122218426784446,-0.0053191489361702135,-0.021276595744680882,0.262292369035369
pre3_label3_response_coverage,session_level_split,train,proto_peak_tail,188,0.7770345094478132,0.5425531914893617,0.4574468085106383,0.0,1.051970977217276,0.20060308510628783,0.9574468085106383,1.112393623257571,2.181542551600711,0.16614483455641868,0.06382978723404255,0.0851063829787234,0.0425531914893617,0.925531914893617,1.0,1.2392941528560892,B_response3s_strict_core,0.33011095985179567,0.05851063829787234,0.9148936170212766,0.520692098776021,0.4469235495960175,0.39893617021276595,-0.9148936170212766,0.7186020540800683
pre3_label3_response_coverage,session_level_split,train,proto_tail_correction,188,0.7766469566616401,0.5638297872340425,0.43617021276595747,0.0,1.0604676877326789,0.21258756252671646,0.9468085106382979,1.0839361706154143,2.199999998779373,0.16428659860158656,0.06382978723404255,0.0851063829787234,0.031914893617021274,0.925531914893617,0.8936170212765957,1.2339994585975083,B_response3s_strict_core,0.33011095985179567,0.05851063829787234,0.9148936170212766,0.520692098776021,0.4465359968098444,0.3776595744680851,-0.9148936170212766,0.7133073598214873
pre3_label3_response_coverage,session_level_split,train,rbf_kernel_ridge_context_no_subject,188,0.33011095985179567,0.9414893617021277,0.05851063829787234,0.9148936170212766,0.3130859541607664,0.9549159427900055,0.02127659574468085,0.30026595286549407,0.19082446689618396,0.10480268023124192,0.015957446808510637,0.06382978723404255,0.06914893617021277,0.925531914893617,0.9680851063829787,0.520692098776021,B_response3s_strict_core,0.33011095985179567,0.05851063829787234,0.9148936170212766,0.520692098776021,0.0,0.0,0.0,0.0
pre3_label3_response_coverage,session_level_split,train,response_factorized_oracle,188,0.29529423472205674,0.9627659574468085,0.03723404255319149,0.9787234042553191,0.2769552292104097,0.8616480004642322,0.06382978723404255,0.28356383035474636,0.29311170216966814,0.11448932678568452,0.031914893617021274,0.05851063829787234,0.11170212765957446,0.925531914893617,0.9414893617021277,0.4651371888692091,B_response3s_strict_core,0.33011095985179567,0.05851063829787234,0.9148936170212766,0.520692098776021,-0.034816725129738935,-0.021276595744680854,0.06382978723404253,-0.05555490990681189
pre3_label3_response_coverage,session_level_split,train,response_factorized_plus_existing_oracle,188,0.2747742312418783,0.9627659574468085,0.03723404255319149,0.9574468085106383,0.25789545674590353,0.8823859230893251,0.06382978723404255,0.2905585096078984,0.25420212751611115,0.1658367782250199,0.05851063829787234,0.09574468085106383,0.1595744680851064,0.925531914893617,0.7978723404255319,0.4420757460107254,B_response3s_strict_core,0.33011095985179567,0.05851063829787234,0.9148936170212766,0.520692098776021,-0.055336728609917396,-0.021276595744680854,0.042553191489361764,-0.07861635276529555
