split,sample_id,oracle_winner_model,oracle_sample_rmse,pool_name
test,vehicle_instability_allraw__hzh__2025_09_27_19_44_05__000176245__pre3_label3_response_coverage,rbf_kernel_ridge_context_no_subject,0.2790119349956512,oracle_rbf_plus_keypoint
test,vehicle_instability_allraw__hzh__2025_09_27_19_44_05__000218700__pre3_label3_response_coverage,rbf_kernel_ridge_context_no_subject,0.5038022994995117,oracle_rbf_plus_keypoint
test,vehicle_instability_allraw__hzh__2025_09_27_19_44_05__000246255__pre3_label3_response_coverage,rbf_kernel_ridge_context_no_subject,0.2360097914934158,oracle_rbf_plus_keypoint
test,vehicle_instability_allraw__hzh__2025_09_27_19_44_05__000326390__pre3_label3_response_coverage,rbf_kernel_ridge_context_no_subject,0.4599531888961792,oracle_rbf_plus_keypoint
test,vehicle_instability_allraw__hzh__2025_09_27_19_44_05__000345860__pre3_label3_response_coverage,rbf_kernel_ridge_context_no_subject,0.3613468110561371,oracle_rbf_plus_keypoint
train,vehicle_instability_allraw__jy__2025_09_26_17_17_11__000240445__pre3_label3_response_coverage,keypoint_residual_vehicle_transformer_no_subject,0.7204201817512512,oracle_rbf_plus_keypoint
train,vehicle_instability_allraw__jy__2025_09_26_17_17_11__000414405__pre3_label3_response_coverage,rbf_kernel_ridge_context_no_subject,0.3020745515823364,oracle_rbf_plus_keypoint
train,vehicle_instability_allraw__jy__2025_09_26_17_17_11__000547665__pre3_label3_response_coverage,rbf_kernel_ridge_context_no_subject,0.0468060374259948,oracle_rbf_plus_keypoint
train,vehicle_instability_allraw__jy__2025_09_26_17_29_44__000426110__pre3_label3_response_coverage,rbf_kernel_ridge_context_no_subject,0.4173553884029388,oracle_rbf_plus_keypoint
train,vehicle_instability_allraw__jy__2025_09_26_17_29_44__000500270__pre3_label3_response_coverage,rbf_kernel_ridge_context_no_subject,0.1101447343826294,oracle_rbf_plus_keypoint
train,vehicle_instability_allraw__jy__2025_09_26_17_29_44__000535550__pre3_label3_response_coverage,rbf_kernel_ridge_context_no_subject,0.1054359376430511,oracle_rbf_plus_keypoint
train,vehicle_instability_allraw__jy__2025_09_26_17_29_44__000540950__pre3_label3_response_coverage,rbf_kernel_ridge_context_no_subject,0.0477919243276119,oracle_rbf_plus_keypoint
train,vehicle_instability_allraw__jy__2025_09_26_17_40_51__000069905__pre3_label3_response_coverage,rbf_kernel_ridge_context_no_subject,0.2146531790494918,oracle_rbf_plus_keypoint
train,vehicle_instability_allraw__jy__2025_09_26_17_40_51__000228515__pre3_label3_response_coverage,rbf_kernel_ridge_context_no_subject,0.6089252233505249,oracle_rbf_plus_keypoint
train,vehicle_instability_allraw__jy__2025_09_26_17_40_51__000445490__pre3_label3_response_coverage,rbf_kernel_ridge_context_no_subject,0.2137268483638763,oracle_rbf_plus_keypoint
train,vehicle_instability_allraw__jy__2025_09_26_17_40_51__000526105__pre3_label3_response_coverage,rbf_kernel_ridge_context_no_subject,0.3975248634815216,oracle_rbf_plus_keypoint
train,vehicle_instability_allraw__jy__2025_09_26_17_51_46__000542335__pre3_label3_response_coverage,rbf_kernel_ridge_context_no_subject,0.0339282229542732,oracle_rbf_plus_keypoint
val,vehicle_instability_allraw__jy__2025_09_26_18_01_40__000064705__pre3_label3_response_coverage,keypoint_residual_vehicle_transformer_no_subject,0.1866630762815475,oracle_rbf_plus_keypoint
val,vehicle_instability_allraw__jy__2025_09_26_18_01_40__000198735__pre3_label3_response_coverage,rbf_kernel_ridge_context_no_subject,0.2755479514598846,oracle_rbf_plus_keypoint
val,vehicle_instability_allraw__jy__2025_09_26_18_01_40__000326600__pre3_label3_response_coverage,rbf_kernel_ridge_context_no_subject,0.3336073756217956,oracle_rbf_plus_keypoint
train,vehicle_instability_allraw__lx__2025_09_26_09_17_22__000135315__pre3_label3_response_coverage,rbf_kernel_ridge_context_no_subject,0.1458196938037872,oracle_rbf_plus_keypoint
train,vehicle_instability_allraw__lx__2025_09_26_09_17_22__000215535__pre3_label3_response_coverage,rbf_kernel_ridge_context_no_subject,0.5317190289497375,oracle_rbf_plus_keypoint
