split,sample_id,best_candidate_oracle,selected_choice,policy_name,selected_confidence,prob_branch0,prob_branch1,prob_branch2,prob_rbf,fallback_threshold
train,vehicle_instability_allraw__lxy__2025_09_28_18_19_35__000334720__pre3_label3_response_coverage,rbf,rbf,always_rbf_reference,,,,,,
train,vehicle_instability_allraw__lxy__2025_09_28_18_19_35__000402090__pre3_label3_response_coverage,rbf,rbf,always_rbf_reference,,,,,,
train,vehicle_instability_allraw__lxy__2025_09_28_18_19_35__000481970__pre3_label3_response_coverage,rbf,rbf,always_rbf_reference,,,,,,
train,vehicle_instability_allraw__rjy__2025_09_28_19_33_26__000137120__pre3_label3_response_coverage,rbf,rbf,always_rbf_reference,,,,,,
train,vehicle_instability_allraw__rjy__2025_09_28_19_33_26__000439360__pre3_label3_response_coverage,rbf,rbf,always_rbf_reference,,,,,,
train,vehicle_instability_allraw__rjy__2025_09_28_19_33_26__000515545__pre3_label3_response_coverage,rbf,rbf,always_rbf_reference,,,,,,
train,vehicle_instability_allraw__rjy__2025_09_28_19_33_26__000598710__pre3_label3_response_coverage,branch2,rbf,always_rbf_reference,,,,,,
train,vehicle_instability_allraw__rjy__2025_09_28_19_51_44__000180850__pre3_label3_response_coverage,branch1,rbf,always_rbf_reference,,,,,,
train,vehicle_instability_allraw__rjy__2025_09_28_19_51_44__000209520__pre3_label3_response_coverage,rbf,rbf,always_rbf_reference,,,,,,
train,vehicle_instability_allraw__rjy__2025_09_28_19_51_44__000340405__pre3_label3_response_coverage,rbf,rbf,always_rbf_reference,,,,,,
train,vehicle_instability_allraw__rjy__2025_09_28_19_51_44__000384965__pre3_label3_response_coverage,rbf,rbf,always_rbf_reference,,,,,,
train,vehicle_instability_allraw__rjy__2025_09_28_19_51_44__000463330__pre3_label3_response_coverage,branch1,rbf,always_rbf_reference,,,,,,
train,vehicle_instability_allraw__rjy__2025_09_28_20_02_20__000137410__pre3_label3_response_coverage,rbf,rbf,always_rbf_reference,,,,,,
