subj,recording_id,clean_eeg_fif,clean_eeg_exists,raw_eeg_csv,raw_eeg_exists,raw_eeg_size_mb,raw_eeg_col_count,raw_eeg_channel_count,raw_eeg_accel_count,raw_eeg_first_storage_time,clean_sfreq,clean_nchan,clean_duration_s,clean_bad_count,clean_bad_list,clean_ch_names
lxy,2025_09_28_17_55_52,F:\data_set_process\data_process\01_datasets\多模态数据\被试数据集合\lxy\eeg_clean\Entity_Recording_2025_09_28_17_55_52_eeg_raw_clean_resamp200_ica_final_qc.fif,True,F:\data_set_process\data_process\01_datasets\数据预处理\原始脑电数据\lxy\Entity_Recording_2025_09_28_17_55_52_eeg.csv,True,106.338,37.0,32.0,3.0,2025-09-28 17:55:53.187000,200.0,31.0,593.175,0.0,,P7;P4;Cz;Pz;P3;P8;O1;O2;T8;F8;C4;F4;Fp2;Fz;C3;F3;Fp1;T7;F7;Oz;PO4;FC6;AF4;CP6;CP2;CP1;CP5;FC1;FC5;AF3;PO3
lxy,2025_09_28_18_06_16,F:\data_set_process\data_process\01_datasets\多模态数据\被试数据集合\lxy\eeg_clean\Entity_Recording_2025_09_28_18_06_16_eeg_raw_clean_resamp200_ica_final_qc.fif,True,F:\data_set_process\data_process\01_datasets\数据预处理\原始脑电数据\lxy\Entity_Recording_2025_09_28_18_06_16_eeg.csv,True,103.957,37.0,32.0,3.0,2025-09-28 18:06:17.063000,200.0,31.0,579.69,0.0,,P7;P4;Cz;Pz;P3;P8;O1;O2;T8;C4;F4;Fp2;Fz;C3;F3;Fp1;T7;F7;Oz;PO4;FC6;FC2;AF4;CP6;CP2;CP1;CP5;FC1;FC5;AF3;PO3
lxy,2025_09_28_18_16_26,F:\data_set_process\data_process\01_datasets\多模态数据\被试数据集合\lxy\eeg_clean\Entity_Recording_2025_09_28_18_16_26_eeg_raw_clean_resamp200_ica_final_qc.fif,False,F:\data_set_process\data_process\01_datasets\数据预处理\原始脑电数据\lxy\Entity_Recording_2025_09_28_18_16_26_eeg.csv,True,2.519,37.0,32.0,3.0,2025-09-28 18:16:26.301000,,,,,,
lxy,2025_09_28_18_19_35,F:\data_set_process\data_process\01_datasets\多模态数据\被试数据集合\lxy\eeg_clean\Entity_Recording_2025_09_28_18_19_35_eeg_raw_clean_resamp200_ica_final_qc.fif,True,F:\data_set_process\data_process\01_datasets\数据预处理\原始脑电数据\lxy\Entity_Recording_2025_09_28_18_19_35_eeg.csv,True,97.481,37.0,32.0,3.0,2025-09-28 18:19:36.093000,200.0,31.0,544.01,0.0,,P7;P4;Cz;Pz;P3;P8;O1;O2;T8;C4;F4;Fp2;Fz;C3;F3;Fp1;T7;F7;Oz;PO4;FC6;FC2;AF4;CP6;CP2;CP1;CP5;FC1;FC5;AF3;PO3
rjy,2025_09_28_19_33_26,F:\data_set_process\data_process\01_datasets\多模态数据\被试数据集合\rjy\eeg_clean\Entity_Recording_2025_09_28_19_33_26_eeg_raw_clean_resamp200_ica_final_qc.fif,True,F:\data_set_process\data_process\01_datasets\数据预处理\原始脑电数据\rjy\Entity_Recording_2025_09_28_19_33_26_eeg.csv,True,119.118,37.0,32.0,3.0,2025-09-28 19:33:26.867000,200.0,29.0,646.875,0.0,,P7;P4;Cz;Pz;P3;P8;O1;O2;T8;F8;C4;F4;Fp2;Fz;C3;F3;Fp1;T7;F7;Oz;FC6;FC2;AF4;CP6;CP2;CP1;CP5;AF3;PO3
rjy,2025_09_28_19_44_42,F:\data_set_process\data_process\01_datasets\多模态数据\被试数据集合\rjy\eeg_clean\Entity_Recording_2025_09_28_19_44_42_eeg_raw_clean_resamp200_ica_final_qc.fif,True,F:\data_set_process\data_process\01_datasets\数据预处理\原始脑电数据\rjy\Entity_Recording_2025_09_28_19_44_42_eeg.csv,True,27.256,37.0,32.0,3.0,2025-09-28 19:44:42.457000,200.0,29.0,147.565,0.0,,P7;P4;Cz;Pz;P3;P8;O1;O2;F8;C4;F4;Fp2;Fz;C3;F3;Fp1;T7;F7;Oz;PO4;FC6;FC2;AF4;CP6;CP2;CP1;CP5;AF3;PO3
rjy,2025_09_28_19_49_06,F:\data_set_process\data_process\01_datasets\多模态数据\被试数据集合\rjy\eeg_clean\Entity_Recording_2025_09_28_19_49_06_eeg_raw_clean_resamp200_ica_final_qc.fif,True,F:\data_set_process\data_process\01_datasets\数据预处理\原始脑电数据\rjy\Entity_Recording_2025_09_28_19_49_06_eeg.csv,True,11.217,37.0,32.0,3.0,2025-09-28 19:49:06.837000,200.0,30.0,60.695,0.0,,P7;P4;Cz;Pz;P3;P8;O1;O2;T8;F8;C4;F4;Fp2;Fz;C3;F3;Fp1;T7;F7;Oz;FC6;FC2;AF4;CP6;CP2;CP1;CP5;FC1;AF3;PO3
rjy,2025_09_28_19_51_44,F:\data_set_process\data_process\01_datasets\多模态数据\被试数据集合\rjy\eeg_clean\Entity_Recording_2025_09_28_19_51_44_eeg_raw_clean_resamp200_ica_final_qc.fif,False,F:\data_set_process\data_process\01_datasets\数据预处理\原始脑电数据\rjy\Entity_Recording_2025_09_28_19_51_44_eeg.csv,False,,,,,,,,,,,
rjy,2025_09_28_20_02_20,F:\data_set_process\data_process\01_datasets\多模态数据\被试数据集合\rjy\eeg_clean\Entity_Recording_2025_09_28_20_02_20_eeg_raw_clean_resamp200_ica_final_qc.fif,False,F:\data_set_process\data_process\01_datasets\数据预处理\原始脑电数据\rjy\Entity_Recording_2025_09_28_20_02_20_eeg.csv,False,,,,,,,,,,,
rjy,2025_09_28_20_15_42,F:\data_set_process\data_process\01_datasets\多模态数据\被试数据集合\rjy\eeg_clean\Entity_Recording_2025_09_28_20_15_42_eeg_raw_clean_resamp200_ica_final_qc.fif,False,F:\data_set_process\data_process\01_datasets\数据预处理\原始脑电数据\rjy\Entity_Recording_2025_09_28_20_15_42_eeg.csv,False,,,,,,,,,,,
