window_config_id,split_strategy,n_samples,rmse_steer,peak_direction_accuracy,wrong_side_rate,large_response_recall,peak_amp_mae,peak_amp_ratio_pred_over_gt_mean,severe_amp_under_rate,peak_time_mae_s,onset_delay_mae_s,tail_abs_error_mean,tail_drift_risk_rate,zero_crossing_mismatch_rate,reversal_count_exact_match_rate,multi_segment_gt_rate,multi_segment_pred_rate,difficult_top20_rmse,track_id,rbf_ref_rmse,rbf_ref_wrong_side,rbf_ref_large_recall,rbf_ref_difficult_rmse,rmse_delta_vs_rbf,wrong_side_delta_vs_rbf,large_recall_delta_vs_rbf,difficult_rmse_delta_vs_rbf,fold_id,model_name,split,policy_name,selected_model,selection_rule
pre3_label3_response_coverage,session_level_split,173,0.371293021703565,0.9421965317919075,0.057803468208092484,0.8636363636363636,0.33461319405391726,0.9584781772631485,0.09248554913294797,0.3158670549275558,0.30205202274928894,0.08941734857275824,0.011560693641618497,0.06936416184971098,0.028901734104046242,0.9248554913294798,0.9710982658959537,0.5733037672353896,B_response3s_strict_core,0.3659318708280339,0.06358381502890173,0.8863636363636364,0.5550264009689614,0.005361150875531073,-0.005780346820809246,-0.022727272727272707,0.018277366266428174,1,segment_abs_rf_blend_25,train,stage7g_original_val_gate,segment_abs_rf_blend_25,val_rmse_improvement_gt_0_002
pre3_label3_response_coverage,session_level_split,43,0.5912329751624975,0.9534883720930233,0.046511627906976744,0.6363636363636364,0.4633399288841458,0.9018201630570183,0.16279069767441862,0.3713953495025635,0.39348837672624476,0.2058412843752046,0.046511627906976744,0.046511627906976744,0.023255813953488372,0.9534883720930233,0.9767441860465116,0.9770002236365143,B_response3s_strict_core,0.601712800132723,0.09302325581395349,0.45454545454545453,0.9904200537360716,-0.010479824970225482,-0.046511627906976744,0.18181818181818182,-0.013419830099557273,1,segment_abs_rf_blend_25,val,stage7g_original_val_gate,segment_abs_rf_blend_25,val_rmse_improvement_gt_0_002
pre3_label3_response_coverage,session_level_split,54,0.6098024561997646,0.7962962962962963,0.2037037037037037,0.4166666666666667,0.5146378834076502,3.2787489650521087,0.24074074074074073,0.5566666689183977,0.4952777801771407,0.18640936575657516,0.09259259259259259,0.09259259259259259,0.0,0.9259259259259259,0.9814814814814815,0.9379721710515447,B_response3s_strict_core,0.6081335040466552,0.2037037037037037,0.4166666666666667,0.9200023915143355,0.0016689521531093598,0.0,0.0,0.01796977953720924,1,segment_abs_rf_blend_25,test,stage7g_original_val_gate,segment_abs_rf_blend_25,val_rmse_improvement_gt_0_002
pre3_label3_response_coverage,session_level_split,173,0.3511260814075619,0.953757225433526,0.046242774566473986,0.9318181818181818,0.3005113452026954,0.9768386925068907,0.08092485549132948,0.36101156378412524,0.2804624287336203,0.07995750639800284,0.011560693641618497,0.07514450867052024,0.03468208092485549,0.9248554913294798,0.9826589595375722,0.5239390694959307,B_response3s_strict_core,0.3659318708280339,0.06358381502890173,0.8863636363636364,0.5550264009689614,-0.014805789420472004,-0.017341040462427744,0.045454545454545414,-0.031087331473030666,1,rbf_abs_keypoint_scaled_blend_50,train,stability_penalty_l05,rbf_abs_keypoint_scaled_blend_50,score=val_delta+0.5*abs(train_delta-val_delta)
pre3_label3_response_coverage,session_level_split,43,0.5923741744293927,0.9534883720930233,0.046511627906976744,0.6363636363636364,0.4485261452839125,0.9256247705862115,0.16279069767441862,0.4260465114615684,0.3509302322081355,0.20907838969643033,0.06976744186046512,0.046511627906976744,0.0,0.9534883720930233,0.9767441860465116,0.9595528191311286,B_response3s_strict_core,0.601712800132723,0.09302325581395349,0.45454545454545453,0.9904200537360716,-0.009338625703330328,-0.046511627906976744,0.18181818181818182,-0.030867234604943006,1,rbf_abs_keypoint_scaled_blend_50,val,stability_penalty_l05,rbf_abs_keypoint_scaled_blend_50,score=val_delta+0.5*abs(train_delta-val_delta)
pre3_label3_response_coverage,session_level_split,54,0.6350248193637442,0.7962962962962963,0.2037037037037037,0.4166666666666667,0.5333054888545087,3.5641341103643382,0.2037037037037037,0.5763888966154169,0.4441666701567118,0.19147349092074567,0.1111111111111111,0.1111111111111111,0.0,0.9259259259259259,0.9814814814814815,0.928111874253239,B_response3s_strict_core,0.6081335040466552,0.2037037037037037,0.4166666666666667,0.9200023915143355,0.026891315317088993,0.0,0.0,0.00810948273890355,1,rbf_abs_keypoint_scaled_blend_50,test,stability_penalty_l05,rbf_abs_keypoint_scaled_blend_50,score=val_delta+0.5*abs(train_delta-val_delta)
pre3_label3_response_coverage,session_level_split,173,0.21901959280967584,0.9710982658959537,0.028901734104046242,1.0,0.20091121201268855,0.9006849545642589,0.005780346820809248,0.1733526022448016,0.1032948002348401,0.05998452065170694,0.0,0.04046242774566474,0.20809248554913296,0.9364161849710982,0.9479768786127167,0.3139838730928889,B_response3s_strict_core,0.21901959280967584,0.028901734104046242,1.0,0.3139838730928889,0.0,0.0,0.0,0.0,2,rbf_kernel_ridge_context_no_subject,train,always_rbf_reference,rbf_kernel_ridge_context_no_subject,reference
pre3_label3_response_coverage,session_level_split,43,0.50404240118804,0.7674418604651163,0.23255813953488372,0.5454545454545454,0.3648315784168231,0.8479279794508131,0.20930232558139536,0.4139534969662511,0.5125581361353397,0.1793200347225088,0.06976744186046512,0.09302325581395349,0.023255813953488372,0.9302325581395349,0.8837209302325582,0.7018205464406096,B_response3s_strict_core,0.50404240118804,0.23255813953488372,0.5454545454545454,0.7018205464406096,0.0,0.0,0.0,0.0,2,rbf_kernel_ridge_context_no_subject,val,always_rbf_reference,rbf_kernel_ridge_context_no_subject,reference
pre3_label3_response_coverage,session_level_split,54,0.719608342829408,0.8333333333333334,0.16666666666666666,0.38095238095238093,0.6429774668749867,0.7105913269283793,0.4074074074074074,0.6652777893123804,0.6380555580749556,0.2194015960156728,0.037037037037037035,0.1111111111111111,0.037037037037037035,0.9074074074074074,0.8703703703703703,1.0636938348111946,B_response3s_strict_core,0.719608342829408,0.16666666666666666,0.38095238095238093,1.0636938348111946,0.0,0.0,0.0,0.0,2,rbf_kernel_ridge_context_no_subject,test,always_rbf_reference,rbf_kernel_ridge_context_no_subject,reference
pre3_label3_response_coverage,session_level_split,173,0.1927029133632682,0.976878612716763,0.023121387283236993,1.0,0.14842096611728214,0.947879163047259,0.005780346820809248,0.16852601432386852,0.10843930760603075,0.04387776138573196,0.0,0.03468208092485549,0.21965317919075145,0.9364161849710982,0.9479768786127167,0.2598327855627678,B_response3s_strict_core,0.21901959280967584,0.028901734104046242,1.0,0.3139838730928889,-0.026316679446407643,-0.005780346820809249,0.0,-0.0541510875301211,2,rbf_resid_keypoint_scaled_blend_50,train,stage7g_original_val_gate,rbf_resid_keypoint_scaled_blend_50,val_noninferior_with_physical_gain
